method_id,family,valid_initial_demo_id,initial_success_rate,nearest_any_demo_id,nearest_any_label,nearest_any_distance,nearest_positive_demo_id,nearest_positive_distance,nearest_bad_demo_id,nearest_bad_distance,bad_minus_positive_distance,transition_nn_any_mean,transition_nn_positive_mean,transition_nn_bad_mean
triage_bc,triage_v01,demo_81,0.600,demo_171,positive,2.127,demo_171,2.127,demo_84,2.692,0.565,2.648,2.713,6.281
triage_bc,triage_v01,demo_89,1.000,demo_1,positive,3.330,demo_1,3.330,demo_40,3.732,0.401,1.909,1.909,5.475
triage_bc,triage_v01,demo_99,1.000,demo_131,positive,1.904,demo_131,1.904,demo_60,2.603,0.699,2.724,2.724,6.589
triage_bc,triage_v01,demo_105,1.000,demo_101,positive,1.414,demo_101,1.414,demo_34,2.680,1.266,2.438,2.438,6.618
triage_bc,triage_v01,demo_189,1.000,demo_124,bad,1.908,demo_35,2.317,demo_124,1.908,-0.409,2.736,2.879,5.370
weighted_bc,weighted,demo_5,0.200,demo_198,bad,2.513,demo_93,2.988,demo_198,2.513,-0.475,2.593,2.782,5.292
weighted_bc,weighted,demo_29,1.000,demo_136,bad,2.987,demo_137,2.987,demo_136,2.987,0.000,2.999,3.049,5.704
weighted_bc,weighted,demo_39,0.000,demo_108,bad,3.798,demo_113,3.919,demo_108,3.798,-0.121,2.839,2.925,6.352
weighted_bc,weighted,demo_45,1.000,demo_22,bad,2.363,demo_171,2.554,demo_22,2.363,-0.191,2.135,2.362,5.561
weighted_bc,weighted,demo_53,0.600,demo_122,bad,2.323,demo_123,2.323,demo_122,2.323,0.000,2.132,2.137,5.591
weighted_bc,weighted,demo_81,0.400,demo_22,bad,1.969,demo_171,2.127,demo_22,1.969,-0.157,2.568,2.713,5.784
weighted_bc,weighted,demo_89,1.000,demo_1,positive,3.330,demo_1,3.330,demo_158,3.387,0.056,1.855,1.909,4.867
weighted_bc,weighted,demo_99,1.000,demo_130,bad,1.904,demo_131,1.904,demo_130,1.904,0.000,2.587,2.724,5.725
weighted_bc,weighted,demo_105,1.000,demo_100,bad,1.414,demo_101,1.414,demo_100,1.414,0.000,2.433,2.438,6.058
weighted_bc,weighted,demo_189,1.000,demo_124,bad,1.908,demo_35,2.317,demo_124,1.908,-0.409,2.708,2.879,5.337
