regime_id,regime_label,row_role,method_id,method_label,method_family,support_split_count,endpoint_split_count,support_split_seeds,endpoint_split_seeds,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,endpoint_successes,endpoint_episodes,endpoint_success_rate,endpoint_status,support_source,endpoint_source,note
can20,Can 20p/80b,diagnostic,positive_only_nn_top20,positive-only NN top20,positive-only,3,2,11/22/33,11/22,60,49,11,60,240,0.817,0.817,0.046,54,100,0.540,partial_endpoint,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,Appendix-only heavy-contamination diagnostic with partial endpoint coverage.
can20,Can 20p/80b,diagnostic,weighted_full_pool,weighted full pool,weighted,3,1,11/22/33,11,300,60,240,60,240,0.200,1.000,1.000,18,50,0.360,partial_endpoint,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,Appendix-only heavy-contamination diagnostic with partial endpoint coverage.
can80,Can 80p/80b,diagnostic,triage_bc_adaptive_masscap,TRIAGE adaptive masscap,TRIAGE,3,1,11/22/33,33,165,137,28,240,240,0.830,0.571,0.117,43,50,0.860,partial_endpoint,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint.csv,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint.csv,Appendix-only balanced diagnostic; endpoint is split-33 only where present.
can80,Can 80p/80b,diagnostic,classifier_score_top80,classifier top80,classifier,3,0,11/22/33,,240,190,50,240,240,0.792,0.792,0.208,,,,support_only,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint.csv,,Appendix-only balanced diagnostic; endpoint is split-33 only where present.
can80,Can 80p/80b,diagnostic,positive_only_nn_top80,positive-only NN top80,positive-only,3,1,11/22/33,33,240,220,20,240,240,0.917,0.917,0.083,49,50,0.980,partial_endpoint,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint.csv,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint.csv,Appendix-only balanced diagnostic; endpoint is split-33 only where present.
lift_mg,Lift MG,primary,triage_bc,TRIAGE-BC / pos-min,TRIAGE,3,3,11/22/33,11/22/33,441,421,20,828,3432,0.955,0.508,0.006,74,150,0.493,complete_3split_endpoint,results/final_paper/per_seed/*/hidden_label_audit.csv,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary.csv,Frozen primary Lift support/endpoint rows.
lift_mg,Lift MG,primary,classifier_topk,classifier-score top160,classifier,3,3,11/22/33,11/22/33,480,462,18,828,3432,0.963,0.558,0.005,68,150,0.453,complete_3split_endpoint,results/final_paper/per_seed/*/hidden_label_audit.csv,results/final_paper/ablations/lift_mg_classifier_top160_endpoint_summary.csv,Frozen primary Lift support/endpoint rows.
lift_mg,Lift MG,primary,positive_only_nn,positive-only NN top160,positive-only,3,3,11/22/33,11/22/33,480,342,138,828,3432,0.713,0.413,0.040,82,150,0.547,complete_3split_endpoint,results/final_paper/per_seed/*/hidden_label_audit.csv,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary.csv,Frozen primary Lift support/endpoint rows.
lift_mg,Lift MG,primary,weighted_bc,weighted BC,weighted,3,3,11/22/33,11/22/33,4260,828,3432,828,3432,0.194,1.000,1.000,93,150,0.620,complete_3split_endpoint,results/final_paper/per_seed/*/hidden_label_audit.csv,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary.csv,Frozen primary Lift support/endpoint rows.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,bad_aware_proxy_top20,bad_aware_proxy_top20,bad-aware proxy,3,0,101/202/303,,60,60,0,120,240,1.000,0.500,0.000,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,bad_aware_proxy_top40,bad_aware_proxy_top40,bad-aware proxy,3,0,101/202/303,,120,120,0,120,240,1.000,1.000,0.000,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,bad_aware_proxy_top60,bad_aware_proxy_top60,bad-aware proxy,3,0,101/202/303,,180,120,60,120,240,0.667,1.000,0.250,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,bad_aware_proxy_top80,bad_aware_proxy_top80,bad-aware proxy,3,0,101/202/303,,240,120,120,120,240,0.500,1.000,0.500,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,hybrid_intersection_pos40_badaware40,hybrid_intersection_pos40_badaware40,hybrid,3,0,101/202/303,,70,70,0,120,240,1.000,0.583,0.000,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,hybrid_pos40_filter_badaware80,hybrid_pos40_filter_badaware80,hybrid,3,0,101/202/303,,86,70,16,120,240,0.814,0.583,0.067,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,hybrid_pos40_filter_badaware80_refill40,hybrid_pos40_filter_badaware80_refill40,hybrid,3,0,101/202/303,,120,104,16,120,240,0.867,0.867,0.067,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,hybrid_rank_fusion_badaware_heavy_top40,bad-aware hybrid top40,hybrid,3,3,101/202/303,101/202/303,120,113,7,120,240,0.942,0.942,0.029,104,150,0.693,complete_3split_endpoint,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,results/final_paper/ablations/hard_negative_can_endpoint_200ep/endpoint_200ep_3split_summary.csv,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,hybrid_rank_fusion_equal_top40,hybrid_rank_fusion_equal_top40,hybrid,3,0,101/202/303,,120,105,15,120,240,0.875,0.875,0.062,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,state_action_positive_nn_top20,state_action_positive_nn_top20,positive-only,3,0,101/202/303,,60,43,17,120,240,0.717,0.358,0.071,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,state_action_positive_nn_top40,positive-NN state-action top40,positive-only,3,3,101/202/303,101/202/303,120,70,50,120,240,0.583,0.583,0.208,91,150,0.607,complete_3split_endpoint,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,results/final_paper/ablations/hard_negative_can_endpoint_200ep/endpoint_200ep_3split_summary.csv,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,state_action_positive_nn_top60,state_action_positive_nn_top60,positive-only,3,0,101/202/303,,180,95,85,120,240,0.528,0.792,0.354,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,state_action_positive_nn_top80,state_action_positive_nn_top80,positive-only,3,0,101/202/303,,240,112,128,120,240,0.467,0.933,0.533,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,state_positive_nn_top20,state_positive_nn_top20,positive-only,3,0,101/202/303,,60,42,18,120,240,0.700,0.350,0.075,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,state_positive_nn_top40,state_positive_nn_top40,positive-only,3,0,101/202/303,,120,65,55,120,240,0.542,0.542,0.229,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,state_positive_nn_top60,state_positive_nn_top60,positive-only,3,0,101/202/303,,180,92,88,120,240,0.511,0.767,0.367,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,state_positive_nn_top80,state_positive_nn_top80,positive-only,3,0,101/202/303,,240,110,130,120,240,0.458,0.917,0.542,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
hard_negative_can,Can hard-negative/action-conflict,generated_diagnostic,all_unlabeled_soft_reference,all_unlabeled_soft_reference,soft-reference,3,0,101/202/303,,360,120,240,120,240,0.333,1.000,1.000,,,,support_only,results/final_paper/ablations/hard_negative_can_action_conflict_summary.csv,,Generated hard-negative/action-conflict Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,bad_aware_proxy_top20,bad_aware_proxy_top20,bad-aware proxy,3,0,101/202/303,,60,60,0,120,240,1.000,0.500,0.000,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,bad_aware_proxy_top40,bad_aware_proxy_top40,bad-aware proxy,3,0,101/202/303,,120,120,0,120,240,1.000,1.000,0.000,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,bad_aware_proxy_top60,bad_aware_proxy_top60,bad-aware proxy,3,0,101/202/303,,180,120,60,120,240,0.667,1.000,0.250,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,bad_aware_proxy_top80,bad_aware_proxy_top80,bad-aware proxy,3,0,101/202/303,,240,120,120,120,240,0.500,1.000,0.500,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,hybrid_intersection_pos40_badaware40,hybrid_intersection_pos40_badaware40,hybrid,3,0,101/202/303,,105,105,0,120,240,1.000,0.875,0.000,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,hybrid_pos20_filter_badaware80_refill40,hybrid_pos20_filter_badaware80_refill40,hybrid,3,0,101/202/303,,120,119,1,120,240,0.992,0.992,0.004,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,hybrid_pos40_filter_badaware80,hybrid_pos40_filter_badaware80,hybrid,3,0,101/202/303,,119,105,14,120,240,0.882,0.875,0.058,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,hybrid_pos40_filter_badaware80_refill40,hybrid_pos40_filter_badaware80_refill40,hybrid,3,0,101/202/303,,120,106,14,120,240,0.883,0.883,0.058,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,hybrid_rank_fusion_badaware_heavy_top40,bad-aware hybrid top40,hybrid,3,3,101/202/303,101/202/303,120,118,2,120,240,0.983,0.983,0.008,120,150,0.800,complete_3split_endpoint,results/final_paper/ablations/can_coverage_shift_summary.csv,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/endpoint_200ep_3split_summary.csv,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,hybrid_rank_fusion_equal_top40,hybrid_rank_fusion_equal_top40,hybrid,3,0,101/202/303,,120,117,3,120,240,0.975,0.975,0.013,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,state_action_positive_nn_top20,state_action_positive_nn_top20,positive-only,3,0,101/202/303,,60,59,1,120,240,0.983,0.492,0.004,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,state_action_positive_nn_top40,positive-NN state-action top40,positive-only,3,3,101/202/303,101/202/303,120,105,15,120,240,0.875,0.875,0.062,103,150,0.687,complete_3split_endpoint,results/final_paper/ablations/can_coverage_shift_summary.csv,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/endpoint_200ep_3split_summary.csv,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,state_action_positive_nn_top60,state_action_positive_nn_top60,positive-only,3,0,101/202/303,,180,117,63,120,240,0.650,0.975,0.263,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,state_action_positive_nn_top80,state_action_positive_nn_top80,positive-only,3,0,101/202/303,,240,120,120,120,240,0.500,1.000,0.500,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,state_positive_nn_top20,state_positive_nn_top20,positive-only,3,0,101/202/303,,60,58,2,120,240,0.967,0.483,0.008,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,state_positive_nn_top40,state_positive_nn_top40,positive-only,3,0,101/202/303,,120,105,15,120,240,0.875,0.875,0.062,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,state_positive_nn_top60,state_positive_nn_top60,positive-only,3,0,101/202/303,,180,114,66,120,240,0.633,0.950,0.275,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,state_positive_nn_top80,state_positive_nn_top80,positive-only,3,0,101/202/303,,240,120,120,120,240,0.500,1.000,0.500,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
coverage_shift_can,Can scarce-positive coverage shift,generated_diagnostic,all_unlabeled_soft_reference,all_unlabeled_soft_reference,soft-reference,3,0,101/202/303,,360,120,240,120,240,0.333,1.000,1.000,,,,support_only,results/final_paper/ablations/can_coverage_shift_summary.csv,,Generated scarce-positive coverage-shift Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_bad_aware_state_action_top120,prefix_bad_aware_state_action_top120,bad-aware,3,0,101/202/303,,360,236,124,240,240,0.656,0.983,0.517,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_bad_aware_state_action_top20,prefix_bad_aware_state_action_top20,bad-aware,3,0,101/202/303,,60,48,12,240,240,0.800,0.200,0.050,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_bad_aware_state_action_top40,prefix_bad_aware_state_action_top40,bad-aware,3,0,101/202/303,,120,101,19,240,240,0.842,0.421,0.079,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_bad_aware_state_action_top80,prefix_bad_aware_state_action_top80,bad-aware,3,0,101/202/303,,240,193,47,240,240,0.804,0.804,0.196,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_bad_aware_state_top120,prefix_bad_aware_state_top120,bad-aware,3,0,101/202/303,,360,236,124,240,240,0.656,0.983,0.517,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_bad_aware_state_top20,prefix_bad_aware_state_top20,bad-aware,3,0,101/202/303,,60,48,12,240,240,0.800,0.200,0.050,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_bad_aware_state_top40,prefix_bad_aware_state_top40,bad-aware,3,0,101/202/303,,120,101,19,240,240,0.842,0.421,0.079,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_bad_aware_state_top80,prefix bad-aware state top80,bad-aware,3,3,101/202/303,101/202/303,240,195,45,240,240,0.812,0.812,0.188,119,150,0.793,complete_3split_endpoint,results/final_paper/ablations/can_prefix_positive_summary.csv,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/endpoint_200ep_aggregate_summary.csv,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_rank_fusion_badaware_heavy_top40,prefix_rank_fusion_badaware_heavy_top40,hybrid,3,0,101/202/303,,120,76,44,240,240,0.633,0.317,0.183,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_rank_fusion_badaware_heavy_top80,prefix_rank_fusion_badaware_heavy_top80,hybrid,3,0,101/202/303,,240,151,89,240,240,0.629,0.629,0.371,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_rank_fusion_equal_top40,prefix_rank_fusion_equal_top40,hybrid,3,0,101/202/303,,120,52,68,240,240,0.433,0.217,0.283,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_rank_fusion_equal_top80,prefix_rank_fusion_equal_top80,hybrid,3,0,101/202/303,,240,120,120,240,240,0.500,0.500,0.500,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_state_action_nn_top120,prefix_state_action_nn_top120,positive-only,3,0,101/202/303,,360,132,228,240,240,0.367,0.550,0.950,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_state_action_nn_top20,prefix_state_action_nn_top20,positive-only,3,0,101/202/303,,60,0,60,240,240,0.000,0.000,0.250,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_state_action_nn_top40,prefix_state_action_nn_top40,positive-only,3,0,101/202/303,,120,0,120,240,240,0.000,0.000,0.500,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_state_action_nn_top80,prefix positive-NN state-action top80,positive-only,3,3,101/202/303,101/202/303,240,37,203,240,240,0.154,0.154,0.846,6,150,0.040,complete_3split_endpoint,results/final_paper/ablations/can_prefix_positive_summary.csv,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/endpoint_200ep_aggregate_summary.csv,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_state_nn_top120,prefix_state_nn_top120,positive-only,3,0,101/202/303,,360,132,228,240,240,0.367,0.550,0.950,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_state_nn_top20,prefix_state_nn_top20,positive-only,3,0,101/202/303,,60,0,60,240,240,0.000,0.000,0.250,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_state_nn_top40,prefix_state_nn_top40,positive-only,3,0,101/202/303,,120,0,120,240,240,0.000,0.000,0.500,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,prefix_state_nn_top80,prefix_state_nn_top80,positive-only,3,0,101/202/303,,240,39,201,240,240,0.163,0.163,0.838,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
prefix_positive_can,Can prefix-positive,generated_diagnostic,all_unlabeled_soft_reference,all_unlabeled_soft_reference,soft-reference,3,0,101/202/303,,480,240,240,240,240,0.500,1.000,1.000,,,,support_only,results/final_paper/ablations/can_prefix_positive_summary.csv,,Generated prefix-positive Can regime probe.
