setting_id,setting_label,row_role,candidate_id,candidate_family,split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination
lift_mg,Lift MG,primary,classifier_top160,bad-aware hard,3,480,462,18,828,3432,0.963,0.558,0.005,0.037
lift_mg,Lift MG,primary,classifier_top320,bad-aware hard,3,960,711,249,828,3432,0.741,0.859,0.073,0.259
lift_mg,Lift MG,primary,classifier_top480,bad-aware hard,3,1440,764,676,828,3432,0.531,0.923,0.197,0.469
lift_mg,Lift MG,primary,classifier_top80,bad-aware hard,3,240,237,3,828,3432,0.988,0.286,0.001,0.013
lift_mg,Lift MG,primary,triage_existing,bad-aware hard,3,441,421,20,828,3432,0.955,0.508,0.006,0.045
lift_mg,Lift MG,primary,hybrid_filter_mid_mean_fill_classifier_to160,hybrid,3,480,441,39,828,3432,0.919,0.533,0.011,0.081
lift_mg,Lift MG,primary,hybrid_filter_mid_mean_pos160,hybrid,3,372,339,33,828,3432,0.911,0.409,0.010,0.089
lift_mg,Lift MG,primary,hybrid_filter_mid_minpos_maxneg_fill_classifier_to160,hybrid,3,480,443,37,828,3432,0.923,0.535,0.011,0.077
lift_mg,Lift MG,primary,hybrid_filter_mid_minpos_maxneg_pos160,hybrid,3,369,339,30,828,3432,0.919,0.409,0.009,0.081
lift_mg,Lift MG,primary,hybrid_filter_pos_min_fill_classifier_to160,hybrid,3,480,462,18,828,3432,0.963,0.558,0.005,0.037
lift_mg,Lift MG,primary,hybrid_filter_pos_min_pos160,hybrid,3,262,258,4,828,3432,0.985,0.312,0.001,0.015
lift_mg,Lift MG,primary,hybrid_filter_pos_p10_fill_classifier_to160,hybrid,3,480,462,18,828,3432,0.963,0.558,0.005,0.037
lift_mg,Lift MG,primary,hybrid_filter_pos_p10_pos160,hybrid,3,242,240,2,828,3432,0.992,0.290,0.001,0.008
lift_mg,Lift MG,primary,hybrid_intersection_pos160_classifier160,hybrid,3,286,283,3,828,3432,0.990,0.342,0.001,0.010
lift_mg,Lift MG,primary,hybrid_intersection_pos160_classifier320,hybrid,3,368,338,30,828,3432,0.918,0.408,0.009,0.082
lift_mg,Lift MG,primary,hybrid_pareto_top160,hybrid,3,480,422,58,828,3432,0.879,0.510,0.017,0.121
lift_mg,Lift MG,primary,hybrid_rank_fusion_classifier_heavy_top160,hybrid,3,480,437,43,828,3432,0.910,0.528,0.013,0.090
lift_mg,Lift MG,primary,hybrid_rank_fusion_equal_top160,hybrid,3,480,422,58,828,3432,0.879,0.510,0.017,0.121
lift_mg,Lift MG,primary,hybrid_union_pos160_classifier80,hybrid,3,532,392,140,828,3432,0.737,0.473,0.041,0.263
lift_mg,Lift MG,primary,hybrid_union_pos160_triage,hybrid,3,659,505,154,828,3432,0.766,0.610,0.045,0.234
