setting_id,setting_label,row_role,candidate_id,candidate_label,candidate_family,candidate_family_label,support_split_count,endpoint_split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive_in_audited_splits,total_hidden_bad_in_audited_splits,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,coverage_proxy_score,audit_oracle_score,endpoint_successes,endpoint_episodes,endpoint_success_rate,endpoint_status,source,notes
lift_mg,Lift MG,primary,positive_only_nn,positive-only NN,positive_only,positive-only,3,3,480,342,138,828,3432,0.713,0.413,0.040,0.287,0.113,0.373,82,150,0.547,complete_3split_endpoint,results/final_paper/tables/endpoint_master_table.csv,
lift_mg,Lift MG,primary,weighted_bc,weighted BC,soft_weighted,soft weighted,3,3,4260,828,3432,828,3432,0.194,1.000,1.000,0.806,1.000,0.000,93,150,0.620,complete_3split_endpoint,results/final_paper/tables/endpoint_master_table.csv,
can20,Can 20p/80b,diagnostic,triage_adaptive_masscap,TRIAGE-BC adaptive masscap,bad_aware_hard,bad-aware hard,3,2,123,54,69,60,240,0.439,0.900,0.287,0.561,0.410,0.613,46,100,0.460,partial_endpoint,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,
can20,Can 20p/80b,diagnostic,classifier_top20,classifier top20,bad_aware_hard,bad-aware hard,3,0,60,41,19,60,240,0.683,0.683,0.079,0.317,0.200,0.604,,,,support_only,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,
can20,Can 20p/80b,diagnostic,positive_only_nn_top20,positive-only NN top20,positive_only,positive-only,3,2,60,49,11,60,240,0.817,0.817,0.046,0.183,0.200,0.771,54,100,0.540,partial_endpoint,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,
can20,Can 20p/80b,diagnostic,weighted_full_pool,weighted BC full pool,soft_weighted,soft weighted,3,1,300,60,240,60,240,0.200,1.000,1.000,0.800,1.000,0.000,18,50,0.360,partial_endpoint,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,
can80,Can 80p/80b,diagnostic,triage_bc_adaptive_masscap,TRIAGE-BC adaptive masscap,bad_aware_hard,bad-aware hard,3,1,165,137,28,240,240,0.830,0.571,0.117,0.170,0.344,0.454,43,50,0.860,partial_endpoint,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint.csv,
can80,Can 80p/80b,diagnostic,classifier_score_top80,classifier top80,bad_aware_hard,bad-aware hard,3,0,240,190,50,240,240,0.792,0.792,0.208,0.208,0.500,0.584,,,,support_only,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint.csv,
can80,Can 80p/80b,diagnostic,positive_only_nn_top80,positive-only NN top80,positive_only,positive-only,3,1,240,220,20,240,240,0.917,0.917,0.083,0.083,0.500,0.834,49,50,0.980,partial_endpoint,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint.csv,
can80,Can 80p/80b,diagnostic,weighted_bc,weighted BC,soft_weighted,soft weighted,1,0,160,80,80,80,80,0.500,1.000,1.000,0.500,1.000,0.000,,,,support_only,results/final_paper/tables/endpoint_master_table.csv,
