setting_id,setting_label,candidate_id,candidate_label,candidate_family,split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,coverage_fraction,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,classifier_score_norm,action_conflict_risk_norm,bad_neighbor_risk_norm,positive_distance_risk_norm,safe_margin_score_norm,coverage_x_classifier,coverage_minus_action_risk,coverage_minus_bad_neighbor_risk,coverage_classifier_minus_action_risk,coverage_classifier_minus_bad_neighbor_risk,coverage_classifier_minus_both_risks,audit_oracle_score
can20,Can 20p/80b,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,hybrid,3,60,50,10,0.833,0.833,0.042,0.167,0.200,0.783,13.723,4.603,14.509,21.830,0.144,-1.574,-1.403,-1.497,1.574,0.600,0.370,0.325,0.408,0.675,0.120,-0.170,-0.125,0.430,0.475,0.453,0.792
can20,Can 20p/80b,hybrid_filter_mid_mean_pos20,hybrid filter mid mean pos20,hybrid,3,47,45,2,0.957,0.750,0.008,0.043,0.157,0.773,12.385,3.934,13.029,22.543,0.161,-1.846,-1.746,-1.661,1.846,0.575,0.420,0.140,0.179,0.860,0.090,-0.264,0.017,0.312,0.593,0.452,0.742
can20,Can 20p/80b,hybrid_filter_mid_minpos_maxneg_fill_classifier_to20,hybrid filter mid minpos maxneg fill classifier to20,hybrid,3,60,50,10,0.833,0.833,0.042,0.167,0.200,0.783,13.807,4.651,14.605,21.853,0.145,-1.564,-1.378,-1.502,1.564,0.601,0.373,0.331,0.425,0.669,0.120,-0.173,-0.131,0.428,0.469,0.449,0.792
can20,Can 20p/80b,hybrid_filter_mid_minpos_maxneg_pos20,hybrid filter mid minpos maxneg pos20,hybrid,3,46,45,1,0.978,0.750,0.004,0.022,0.153,0.778,12.288,3.873,12.918,22.716,0.153,-1.883,-1.774,-1.701,1.883,0.587,0.396,0.115,0.161,0.885,0.090,-0.243,0.039,0.345,0.626,0.485,0.746
can20,Can 20p/80b,hybrid_filter_pos_min_fill_classifier_to20,hybrid filter pos min fill classifier to20,hybrid,3,60,41,19,0.683,0.683,0.079,0.317,0.200,0.812,15.015,5.205,15.931,20.340,0.105,-1.212,-1.075,-1.144,1.212,0.674,0.251,0.570,0.627,0.430,0.135,-0.051,-0.370,0.623,0.304,0.464,0.604
can20,Can 20p/80b,hybrid_filter_pos_min_pos20,hybrid filter pos min pos20,hybrid,3,17,17,0,1.000,0.283,0.000,0.000,0.057,0.934,11.458,3.853,12.111,23.159,0.305,-2.032,-1.999,-1.801,2.032,0.978,0.854,0.014,0.010,0.986,0.055,-0.797,0.043,0.181,1.021,0.601,0.283
can20,Can 20p/80b,hybrid_filter_pos_p10_fill_classifier_to20,hybrid filter pos p10 fill classifier to20,hybrid,3,60,41,19,0.683,0.683,0.079,0.317,0.200,0.812,15.015,5.205,15.931,20.340,0.105,-1.212,-1.075,-1.144,1.212,0.674,0.251,0.570,0.627,0.430,0.135,-0.051,-0.370,0.623,0.304,0.464,0.604
can20,Can 20p/80b,hybrid_filter_pos_p10_pos20,hybrid filter pos p10 pos20,hybrid,3,15,15,0,1.000,0.250,0.000,0.000,0.050,0.943,11.357,3.885,12.027,23.246,0.353,-2.052,-2.014,-1.822,2.052,1.000,1.000,0.000,0.000,1.000,0.050,-0.950,0.050,0.050,1.050,0.550,0.250
can20,Can 20p/80b,hybrid_intersection_pos20_classifier20,hybrid intersection pos20 classifier20,hybrid,3,36,36,0,1.000,0.600,0.000,0.000,0.120,0.833,12.273,3.765,12.880,22.945,0.118,-1.926,-1.795,-1.744,1.926,0.725,0.292,0.086,0.146,0.914,0.087,-0.172,0.034,0.553,0.759,0.656,0.600
can20,Can 20p/80b,hybrid_intersection_pos20_classifier40,hybrid intersection pos20 classifier40,hybrid,3,47,44,3,0.936,0.733,0.013,0.064,0.157,0.777,12.576,3.927,13.211,22.330,0.119,-1.797,-1.700,-1.612,1.797,0.585,0.294,0.173,0.210,0.827,0.092,-0.137,-0.016,0.448,0.568,0.508,0.721
can20,Can 20p/80b,hybrid_pareto_top20,hybrid pareto top20,hybrid,3,60,50,10,0.833,0.833,0.042,0.167,0.200,0.765,13.375,4.359,14.104,21.523,0.113,-1.584,-1.497,-1.428,1.584,0.555,0.277,0.317,0.345,0.683,0.111,-0.077,-0.117,0.479,0.438,0.458,0.792
can20,Can 20p/80b,hybrid_rank_fusion_classifier_heavy_top20,hybrid rank fusion classifier heavy top20,hybrid,3,60,50,10,0.833,0.833,0.042,0.167,0.200,0.775,13.422,4.390,14.159,21.661,0.117,-1.598,-1.487,-1.456,1.598,0.580,0.290,0.308,0.352,0.692,0.116,-0.090,-0.108,0.490,0.472,0.481,0.792
can20,Can 20p/80b,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,hybrid,3,60,50,10,0.833,0.833,0.042,0.167,0.200,0.765,13.375,4.359,14.104,21.523,0.113,-1.584,-1.497,-1.428,1.584,0.555,0.277,0.317,0.345,0.683,0.111,-0.077,-0.117,0.479,0.438,0.458,0.792
can20,Can 20p/80b,hybrid_union_pos20_classifier10,hybrid union pos20 classifier10,hybrid,3,69,51,18,0.739,0.850,0.075,0.261,0.230,0.705,14.287,4.818,15.119,20.470,0.096,-1.322,-1.256,-1.186,1.322,0.406,0.225,0.495,0.506,0.505,0.093,0.005,-0.265,0.411,0.141,0.276,0.775
can20,Can 20p/80b,hybrid_union_pos20_triage,hybrid union pos20 triage,hybrid,3,136,57,79,0.419,0.950,0.329,0.581,0.453,0.665,17.209,6.366,18.376,17.640,0.072,-0.578,-0.517,-0.544,0.578,0.306,0.153,1.000,1.000,0.000,0.139,0.301,-0.547,0.607,-0.241,0.183,0.621
can20,Can 20p/80b,positive_nn_top10,positive nn top10,positive-only,3,30,30,0,1.000,0.500,0.000,0.000,0.100,0.764,11.496,3.598,12.083,22.090,0.230,-1.915,-1.985,-1.561,1.915,0.553,0.629,0.093,0.019,0.907,0.055,-0.529,0.007,0.024,0.560,0.292,0.500
can20,Can 20p/80b,positive_nn_top20,positive-NN top20,positive-only,3,60,49,11,0.817,0.817,0.046,0.183,0.200,0.679,13.447,4.415,14.194,20.918,0.120,-1.496,-1.473,-1.291,1.496,0.341,0.298,0.377,0.361,0.623,0.068,-0.098,-0.177,0.243,0.164,0.204,0.771
can20,Can 20p/80b,positive_nn_top40,positive-NN top40,positive-only,3,120,59,61,0.492,0.983,0.254,0.508,0.400,0.543,16.201,5.663,17.192,17.807,0.021,-0.729,-0.769,-0.579,0.729,0.000,0.000,0.897,0.832,0.103,0.000,0.400,-0.497,0.400,-0.497,-0.049,0.729
can80,Can 80p/80b,classifier_top120,classifier top120,bad-aware hard,3,360,235,125,0.653,0.979,0.521,0.347,0.750,0.667,14.752,5.104,15.667,19.246,0.068,-0.326,-0.289,-0.311,0.326,0.313,0.239,0.696,0.732,0.304,0.235,0.511,0.054,0.825,0.368,0.596,0.458
can80,Can 80p/80b,classifier_top160,classifier top160,bad-aware hard,3,480,240,240,0.500,1.000,1.000,0.500,1.000,0.546,16.117,5.662,17.130,17.735,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.500,0.000
can80,Can 80p/80b,classifier_top40,classifier top40,bad-aware hard,3,120,110,10,0.917,0.458,0.042,0.083,0.250,0.862,12.360,4.052,13.106,21.544,0.156,-0.855,-0.794,-0.783,0.855,0.817,0.551,0.200,0.264,0.800,0.204,-0.301,0.050,0.516,0.866,0.691,0.417
can80,Can 80p/80b,classifier_top80,classifier top80,bad-aware hard,3,240,190,50,0.792,0.792,0.208,0.208,0.500,0.763,13.436,4.486,14.227,20.475,0.100,-0.620,-0.575,-0.566,0.620,0.562,0.353,0.421,0.467,0.579,0.281,0.147,0.079,0.709,0.641,0.675,0.583
can80,Can 80p/80b,triage_existing,TRIAGE-BC current,bad-aware hard,3,165,137,28,0.830,0.571,0.117,0.170,0.344,0.824,13.022,4.413,13.828,20.740,0.141,-0.697,-0.663,-0.621,0.697,0.719,0.499,0.349,0.385,0.651,0.247,-0.156,-0.005,0.564,0.715,0.639,0.454
can80,Can 80p/80b,hybrid_filter_mid_mean_fill_classifier_to80,hybrid filter mid mean fill classifier to80,hybrid,3,240,212,28,0.883,0.883,0.117,0.117,0.500,0.753,12.776,4.119,13.485,21.236,0.095,-0.780,-0.719,-0.720,0.780,0.536,0.334,0.271,0.334,0.729,0.268,0.166,0.229,0.702,0.766,0.734,0.767
can80,Can 80p/80b,hybrid_filter_mid_mean_pos80,hybrid filter mid mean pos80,hybrid,3,202,200,2,0.990,0.833,0.008,0.010,0.421,0.757,11.819,3.649,12.433,21.987,0.109,-0.975,-0.924,-0.873,0.975,0.545,0.386,0.088,0.143,0.912,0.229,0.035,0.333,0.580,0.877,0.729,0.825
can80,Can 80p/80b,hybrid_filter_mid_minpos_maxneg_fill_classifier_to80,hybrid filter mid minpos maxneg fill classifier to80,hybrid,3,240,212,28,0.883,0.883,0.117,0.117,0.500,0.753,12.776,4.119,13.485,21.236,0.095,-0.780,-0.719,-0.720,0.780,0.536,0.334,0.271,0.334,0.729,0.268,0.166,0.229,0.702,0.766,0.734,0.767
can80,Can 80p/80b,hybrid_filter_mid_minpos_maxneg_pos80,hybrid filter mid minpos maxneg pos80,hybrid,3,197,196,1,0.995,0.817,0.004,0.005,0.410,0.761,11.809,3.649,12.423,22.048,0.110,-0.983,-0.927,-0.885,0.983,0.555,0.387,0.081,0.141,0.919,0.228,0.024,0.329,0.579,0.884,0.732,0.812
can80,Can 80p/80b,hybrid_filter_pos_min_fill_classifier_to80,hybrid filter pos min fill classifier to80,hybrid,3,240,190,50,0.792,0.792,0.208,0.208,0.500,0.763,13.436,4.486,14.227,20.475,0.100,-0.620,-0.575,-0.566,0.620,0.562,0.353,0.421,0.467,0.579,0.281,0.147,0.079,0.709,0.641,0.675,0.583
can80,Can 80p/80b,hybrid_filter_pos_min_pos80,hybrid filter pos min pos80,hybrid,3,68,68,0,1.000,0.283,0.000,0.000,0.142,0.915,11.303,3.737,11.990,22.408,0.207,-1.066,-1.025,-0.950,1.066,0.954,0.730,0.003,0.050,0.997,0.135,-0.588,0.139,0.366,1.093,0.730,0.283
can80,Can 80p/80b,hybrid_filter_pos_p10_fill_classifier_to80,hybrid filter pos p10 fill classifier to80,hybrid,3,240,190,50,0.792,0.792,0.208,0.208,0.500,0.763,13.436,4.486,14.227,20.475,0.100,-0.620,-0.575,-0.566,0.620,0.562,0.353,0.421,0.467,0.579,0.281,0.147,0.079,0.709,0.641,0.675,0.583
can80,Can 80p/80b,hybrid_filter_pos_p10_pos80,hybrid filter pos p10 pos80,hybrid,3,58,58,0,1.000,0.242,0.000,0.000,0.121,0.933,11.329,3.789,12.049,22.520,0.217,-1.070,-1.013,-0.970,1.070,1.000,0.764,0.000,0.061,1.000,0.121,-0.644,0.121,0.356,1.121,0.739,0.242
