setting_id,setting_label,row_role,split_count,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,action_conflict_risk_mean,bad_neighbor_risk_mean,combined_risk_mean,safe_margin_score_mean,audit_oracle_score
can40,Can 40p/80b,primary,3,bad_neighbor_safe_top40,risk-only,120,120,0,120,240,1.000,1.000,0.000,0.000,0.713,0.138,-1.379,-1.241,1.379,1.000
can40,Can 40p/80b,primary,3,bad_neighbor_safe_top60,risk-only,180,120,60,120,240,0.667,1.000,0.250,0.333,0.629,0.150,-0.783,-0.632,0.783,0.750
can40,Can 40p/80b,primary,3,bad_neighbor_safe_top80,risk-only,240,120,120,120,240,0.500,1.000,0.500,0.500,0.566,0.099,-0.437,-0.337,0.437,0.500
can40,Can 40p/80b,primary,3,combined_risk_safe_top20,risk-only,60,60,0,120,240,1.000,0.500,0.000,0.000,0.700,-0.313,-1.373,-1.686,1.373,0.500
can40,Can 40p/80b,primary,3,combined_risk_safe_top40,risk-only,120,116,4,120,240,0.967,0.967,0.017,0.033,0.701,-0.012,-1.316,-1.328,1.316,0.950
can40,Can 40p/80b,primary,3,combined_risk_safe_top60,risk-only,180,118,62,120,240,0.656,0.983,0.258,0.344,0.590,-0.187,-0.694,-0.881,0.694,0.725
can40,Can 40p/80b,primary,3,combined_risk_safe_top80,risk-only,240,118,122,120,240,0.492,0.983,0.508,0.508,0.536,-0.199,-0.348,-0.547,0.348,0.475
can40,Can 40p/80b,primary,3,safe_margin_top20,risk-only,60,60,0,120,240,1.000,0.500,0.000,0.000,0.762,0.220,-1.540,-1.320,1.540,0.500
can40,Can 40p/80b,primary,3,safe_margin_top40,risk-only,120,120,0,120,240,1.000,1.000,0.000,0.000,0.713,0.138,-1.379,-1.241,1.379,1.000
can40,Can 40p/80b,primary,3,safe_margin_top60,risk-only,180,120,60,120,240,0.667,1.000,0.250,0.333,0.629,0.150,-0.783,-0.632,0.783,0.750
can40,Can 40p/80b,primary,3,safe_margin_top80,risk-only,240,120,120,120,240,0.500,1.000,0.500,0.500,0.566,0.099,-0.437,-0.337,0.437,0.500
can40,Can 40p/80b,primary,3,classifier_risk_fusion_top20,risk-hybrid,60,60,0,120,240,1.000,0.500,0.000,0.000,0.826,-0.061,-1.426,-1.487,1.426,0.500
can40,Can 40p/80b,primary,3,classifier_risk_fusion_top40,risk-hybrid,120,109,11,120,240,0.908,0.908,0.046,0.092,0.738,-0.009,-1.227,-1.236,1.227,0.863
can40,Can 40p/80b,primary,3,classifier_risk_fusion_top60,risk-hybrid,180,119,61,120,240,0.661,0.992,0.254,0.339,0.679,-0.038,-0.724,-0.762,0.724,0.738
can40,Can 40p/80b,primary,3,classifier_risk_fusion_top80,risk-hybrid,240,119,121,120,240,0.496,0.992,0.504,0.504,0.611,-0.059,-0.382,-0.440,0.382,0.488
can40,Can 40p/80b,primary,3,classifier_top120_risk_refine_top60,risk-hybrid,180,118,62,120,240,0.656,0.983,0.258,0.344,0.590,-0.187,-0.694,-0.881,0.694,0.725
can40,Can 40p/80b,primary,3,classifier_top120_risk_refine_top80,risk-hybrid,240,118,122,120,240,0.492,0.983,0.508,0.508,0.536,-0.199,-0.348,-0.547,0.348,0.475
can40,Can 40p/80b,primary,3,classifier_top40_risk_refine_top20,risk-hybrid,60,60,0,120,240,1.000,0.500,0.000,0.000,0.797,-0.120,-1.432,-1.553,1.432,0.500
can40,Can 40p/80b,primary,3,classifier_top80_risk_refine_top40,risk-hybrid,120,114,6,120,240,0.950,0.950,0.025,0.050,0.716,0.016,-1.296,-1.280,1.296,0.925
can40,Can 40p/80b,primary,3,positive_nn_risk_fusion_top20,risk-hybrid,60,60,0,120,240,1.000,0.500,0.000,0.000,0.749,-0.145,-1.373,-1.519,1.373,0.500
can40,Can 40p/80b,primary,3,positive_nn_risk_fusion_top40,risk-hybrid,120,117,3,120,240,0.975,0.975,0.013,0.025,0.709,0.041,-1.337,-1.295,1.337,0.963
can40,Can 40p/80b,primary,3,positive_nn_risk_fusion_top60,risk-hybrid,180,119,61,120,240,0.661,0.992,0.254,0.339,0.597,-0.054,-0.696,-0.750,0.696,0.738
can40,Can 40p/80b,primary,3,positive_nn_risk_fusion_top80,risk-hybrid,240,120,120,120,240,0.500,1.000,0.500,0.500,0.542,-0.084,-0.367,-0.451,0.367,0.500
can40,Can 40p/80b,primary,3,positive_nn_top120_risk_refine_top60,risk-hybrid,180,118,62,120,240,0.656,0.983,0.258,0.344,0.590,-0.187,-0.694,-0.881,0.694,0.725
can40,Can 40p/80b,primary,3,positive_nn_top120_risk_refine_top80,risk-hybrid,240,118,122,120,240,0.492,0.983,0.508,0.508,0.536,-0.199,-0.348,-0.547,0.348,0.475
can40,Can 40p/80b,primary,3,positive_nn_top40_risk_refine_top20,risk-hybrid,60,60,0,120,240,1.000,0.500,0.000,0.000,0.717,-0.229,-1.376,-1.605,1.376,0.500
can40,Can 40p/80b,primary,3,positive_nn_top80_risk_refine_top40,risk-hybrid,120,116,4,120,240,0.967,0.967,0.017,0.033,0.703,0.013,-1.316,-1.303,1.316,0.950
can40,Can 40p/80b,primary,3,triple_fusion_top20,risk-hybrid,60,60,0,120,240,1.000,0.500,0.000,0.000,0.800,-0.123,-1.416,-1.539,1.416,0.500
can40,Can 40p/80b,primary,3,triple_fusion_top40,risk-hybrid,120,117,3,120,240,0.975,0.975,0.013,0.025,0.717,0.044,-1.343,-1.299,1.343,0.963
can40,Can 40p/80b,primary,3,triple_fusion_top60,risk-hybrid,180,119,61,120,240,0.661,0.992,0.254,0.339,0.659,-0.040,-0.724,-0.764,0.724,0.738
can40,Can 40p/80b,primary,3,triple_fusion_top80,risk-hybrid,240,120,120,120,240,0.500,1.000,0.500,0.500,0.584,-0.081,-0.381,-0.461,0.381,0.500
can20,Can 20p/80b,diagnostic,3,positive_nn_top10,positive-only,30,30,0,60,240,1.000,0.500,0.000,0.000,0.764,0.230,-1.915,-1.685,1.915,0.500
can20,Can 20p/80b,diagnostic,3,positive_nn_top20,positive-only,60,49,11,60,240,0.817,0.817,0.046,0.183,0.679,0.120,-1.496,-1.376,1.496,0.771
can20,Can 20p/80b,diagnostic,3,positive_nn_top40,positive-only,120,59,61,60,240,0.492,0.983,0.254,0.508,0.543,0.021,-0.729,-0.708,0.729,0.729
can20,Can 20p/80b,diagnostic,3,classifier_top10,bad-aware hard,30,23,7,60,240,0.767,0.383,0.029,0.233,0.889,0.126,-1.436,-1.310,1.436,0.354
can20,Can 20p/80b,diagnostic,3,classifier_top20,bad-aware hard,60,41,19,60,240,0.683,0.683,0.079,0.317,0.812,0.105,-1.212,-1.108,1.212,0.604
can20,Can 20p/80b,diagnostic,3,classifier_top40,bad-aware hard,120,54,66,60,240,0.450,0.900,0.275,0.550,0.701,0.107,-0.676,-0.569,0.676,0.625
can20,Can 20p/80b,diagnostic,3,triage_existing,bad-aware hard,123,54,69,60,240,0.439,0.900,0.287,0.561,0.706,0.081,-0.627,-0.546,0.627,0.613
can20,Can 20p/80b,diagnostic,3,action_safe_top10,risk-only,30,6,24,60,240,0.200,0.100,0.100,0.800,0.437,-1.048,0.102,-0.946,-0.102,0.000
can20,Can 20p/80b,diagnostic,3,action_safe_top20,risk-only,60,9,51,60,240,0.150,0.150,0.212,0.850,0.378,-0.850,0.214,-0.636,-0.214,-0.062
can20,Can 20p/80b,diagnostic,3,action_safe_top40,risk-only,120,21,99,60,240,0.175,0.350,0.412,0.825,0.393,-0.601,0.131,-0.470,-0.131,-0.062
can20,Can 20p/80b,diagnostic,3,bad_neighbor_safe_top10,risk-only,30,30,0,60,240,1.000,0.500,0.000,0.000,0.749,0.298,-2.118,-1.820,2.118,0.500
can20,Can 20p/80b,diagnostic,3,bad_neighbor_safe_top20,risk-only,60,60,0,60,240,1.000,1.000,0.000,0.000,0.732,0.092,-1.936,-1.843,1.936,1.000
can20,Can 20p/80b,diagnostic,3,bad_neighbor_safe_top40,risk-only,120,60,60,60,240,0.500,1.000,0.250,0.500,0.600,0.139,-0.879,-0.739,0.879,0.750
can20,Can 20p/80b,diagnostic,3,combined_risk_safe_top10,risk-only,30,30,0,60,240,1.000,0.500,0.000,0.000,0.729,-0.404,-1.894,-2.298,1.894,0.500
can20,Can 20p/80b,diagnostic,3,combined_risk_safe_top20,risk-only,60,57,3,60,240,0.950,0.950,0.013,0.050,0.719,-0.029,-1.825,-1.854,1.825,0.938
can20,Can 20p/80b,diagnostic,3,combined_risk_safe_top40,risk-only,120,60,60,60,240,0.500,1.000,0.250,0.500,0.545,-0.300,-0.761,-1.061,0.761,0.750
can20,Can 20p/80b,diagnostic,3,safe_margin_top10,risk-only,30,30,0,60,240,1.000,0.500,0.000,0.000,0.749,0.298,-2.118,-1.820,2.118,0.500
can20,Can 20p/80b,diagnostic,3,safe_margin_top20,risk-only,60,60,0,60,240,1.000,1.000,0.000,0.000,0.732,0.092,-1.936,-1.843,1.936,1.000
can20,Can 20p/80b,diagnostic,3,safe_margin_top40,risk-only,120,60,60,60,240,0.500,1.000,0.250,0.500,0.600,0.139,-0.879,-0.739,0.879,0.750
can20,Can 20p/80b,diagnostic,3,classifier_risk_fusion_top10,risk-hybrid,30,30,0,60,240,1.000,0.500,0.000,0.000,0.852,-0.077,-1.956,-2.033,1.956,0.500
can20,Can 20p/80b,diagnostic,3,classifier_risk_fusion_top20,risk-hybrid,60,53,7,60,240,0.883,0.883,0.029,0.117,0.771,0.007,-1.694,-1.688,1.694,0.854
can20,Can 20p/80b,diagnostic,3,classifier_risk_fusion_top40,risk-hybrid,120,60,60,60,240,0.500,1.000,0.250,0.500,0.659,-0.121,-0.807,-0.928,0.807,0.750
can20,Can 20p/80b,diagnostic,3,classifier_top20_risk_refine_top10,risk-hybrid,30,30,0,60,240,1.000,0.500,0.000,0.000,0.821,-0.172,-1.964,-2.137,1.964,0.500
can20,Can 20p/80b,diagnostic,3,classifier_top40_risk_refine_top20,risk-hybrid,60,54,6,60,240,0.900,0.900,0.025,0.100,0.753,0.004,-1.727,-1.723,1.727,0.875
can20,Can 20p/80b,diagnostic,3,classifier_top80_risk_refine_top40,risk-hybrid,120,60,60,60,240,0.500,1.000,0.250,0.500,0.583,-0.244,-0.766,-1.010,0.766,0.750
can20,Can 20p/80b,diagnostic,3,positive_nn_risk_fusion_top10,risk-hybrid,30,30,0,60,240,1.000,0.500,0.000,0.000,0.752,-0.215,-1.870,-2.085,1.870,0.500
can20,Can 20p/80b,diagnostic,3,positive_nn_risk_fusion_top20,risk-hybrid,60,59,1,60,240,0.983,0.983,0.004,0.017,0.730,0.085,-1.897,-1.812,1.897,0.979
can20,Can 20p/80b,diagnostic,3,positive_nn_risk_fusion_top40,risk-hybrid,120,60,60,60,240,0.500,1.000,0.250,0.500,0.546,-0.134,-0.755,-0.888,0.755,0.750
can20,Can 20p/80b,diagnostic,3,positive_nn_top20_risk_refine_top10,risk-hybrid,30,30,0,60,240,1.000,0.500,0.000,0.000,0.738,-0.249,-1.903,-2.152,1.903,0.500
can20,Can 20p/80b,diagnostic,3,positive_nn_top40_risk_refine_top20,risk-hybrid,60,59,1,60,240,0.983,0.983,0.004,0.017,0.730,0.085,-1.897,-1.812,1.897,0.979
can20,Can 20p/80b,diagnostic,3,positive_nn_top80_risk_refine_top40,risk-hybrid,120,60,60,60,240,0.500,1.000,0.250,0.500,0.568,-0.182,-0.765,-0.948,0.765,0.750
can20,Can 20p/80b,diagnostic,3,triple_fusion_top10,risk-hybrid,30,30,0,60,240,1.000,0.500,0.000,0.000,0.817,-0.195,-1.946,-2.140,1.946,0.500
can20,Can 20p/80b,diagnostic,3,triple_fusion_top20,risk-hybrid,60,60,0,60,240,1.000,1.000,0.000,0.000,0.732,0.092,-1.936,-1.843,1.936,1.000
can20,Can 20p/80b,diagnostic,3,triple_fusion_top40,risk-hybrid,120,60,60,60,240,0.500,1.000,0.250,0.500,0.636,-0.103,-0.802,-0.905,0.802,0.750
can80,Can 80p/80b,diagnostic,3,positive_nn_top120,positive-only,360,238,122,240,240,0.661,0.992,0.508,0.339,0.600,0.025,-0.314,-0.289,0.314,0.483
can80,Can 80p/80b,diagnostic,3,positive_nn_top160,positive-only,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,positive_nn_top40,positive-only,120,120,0,240,240,1.000,0.500,0.000,0.000,0.758,0.283,-1.010,-0.727,1.010,0.500
can80,Can 80p/80b,diagnostic,3,positive_nn_top80,positive-only,240,220,20,240,240,0.917,0.917,0.083,0.083,0.696,0.098,-0.812,-0.713,0.812,0.833
can80,Can 80p/80b,diagnostic,3,classifier_top120,bad-aware hard,360,235,125,240,240,0.653,0.979,0.521,0.347,0.667,0.068,-0.326,-0.258,0.326,0.458
can80,Can 80p/80b,diagnostic,3,classifier_top160,bad-aware hard,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,classifier_top40,bad-aware hard,120,110,10,240,240,0.917,0.458,0.042,0.083,0.862,0.156,-0.855,-0.699,0.855,0.417
can80,Can 80p/80b,diagnostic,3,classifier_top80,bad-aware hard,240,190,50,240,240,0.792,0.792,0.208,0.208,0.763,0.100,-0.620,-0.520,0.620,0.583
can80,Can 80p/80b,diagnostic,3,triage_existing,bad-aware hard,165,137,28,240,240,0.830,0.571,0.117,0.170,0.837,0.141,-0.697,-0.555,0.697,0.454
can80,Can 80p/80b,diagnostic,3,action_safe_top120,risk-only,360,170,190,240,240,0.472,0.708,0.792,0.528,0.514,-0.247,0.085,-0.162,-0.085,-0.083
can80,Can 80p/80b,diagnostic,3,action_safe_top160,risk-only,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,action_safe_top40,risk-only,120,47,73,240,240,0.392,0.196,0.304,0.608,0.463,-0.713,0.302,-0.412,-0.302,-0.108
can80,Can 80p/80b,diagnostic,3,action_safe_top80,risk-only,240,104,136,240,240,0.433,0.433,0.567,0.567,0.481,-0.450,0.195,-0.255,-0.195,-0.133
can80,Can 80p/80b,diagnostic,3,bad_neighbor_safe_top120,risk-only,360,240,120,240,240,0.667,1.000,0.500,0.333,0.624,0.060,-0.385,-0.325,0.385,0.500
can80,Can 80p/80b,diagnostic,3,bad_neighbor_safe_top160,risk-only,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,bad_neighbor_safe_top40,risk-only,120,120,0,240,240,1.000,0.500,0.000,0.000,0.768,0.222,-1.136,-0.914,1.136,0.500
can80,Can 80p/80b,diagnostic,3,bad_neighbor_safe_top80,risk-only,240,240,0,240,240,1.000,1.000,0.000,0.000,0.722,0.082,-0.977,-0.895,0.977,1.000
can80,Can 80p/80b,diagnostic,3,combined_risk_safe_top120,risk-only,360,237,123,240,240,0.658,0.988,0.512,0.342,0.597,-0.142,-0.326,-0.468,0.326,0.475
can80,Can 80p/80b,diagnostic,3,combined_risk_safe_top160,risk-only,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,combined_risk_safe_top40,risk-only,120,120,0,240,240,1.000,0.500,0.000,0.000,0.719,-0.334,-0.983,-1.318,0.983,0.500
can80,Can 80p/80b,diagnostic,3,combined_risk_safe_top80,risk-only,240,235,5,240,240,0.979,0.979,0.021,0.021,0.714,-0.013,-0.943,-0.956,0.943,0.958
can80,Can 80p/80b,diagnostic,3,safe_margin_top120,risk-only,360,240,120,240,240,0.667,1.000,0.500,0.333,0.624,0.060,-0.385,-0.325,0.385,0.500
can80,Can 80p/80b,diagnostic,3,safe_margin_top160,risk-only,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,safe_margin_top40,risk-only,120,120,0,240,240,1.000,0.500,0.000,0.000,0.768,0.222,-1.136,-0.914,1.136,0.500
can80,Can 80p/80b,diagnostic,3,safe_margin_top80,risk-only,240,240,0,240,240,1.000,1.000,0.000,0.000,0.722,0.082,-0.977,-0.895,0.977,1.000
can80,Can 80p/80b,diagnostic,3,classifier_risk_fusion_top120,risk-hybrid,360,239,121,240,240,0.664,0.996,0.504,0.336,0.653,-0.026,-0.352,-0.378,0.352,0.492
can80,Can 80p/80b,diagnostic,3,classifier_risk_fusion_top160,risk-hybrid,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,classifier_risk_fusion_top40,risk-hybrid,120,120,0,240,240,1.000,0.500,0.000,0.000,0.827,-0.120,-1.023,-1.144,1.023,0.500
can80,Can 80p/80b,diagnostic,3,classifier_risk_fusion_top80,risk-hybrid,240,226,14,240,240,0.942,0.942,0.058,0.058,0.738,-0.011,-0.885,-0.896,0.885,0.883
can80,Can 80p/80b,diagnostic,3,classifier_top160_risk_refine_top120,risk-hybrid,360,237,123,240,240,0.658,0.988,0.512,0.342,0.597,-0.142,-0.326,-0.468,0.326,0.475
can80,Can 80p/80b,diagnostic,3,classifier_top160_risk_refine_top160,risk-hybrid,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,classifier_top160_risk_refine_top80,risk-hybrid,240,235,5,240,240,0.979,0.979,0.021,0.021,0.714,-0.013,-0.943,-0.956,0.943,0.958
can80,Can 80p/80b,diagnostic,3,classifier_top80_risk_refine_top40,risk-hybrid,120,120,0,240,240,1.000,0.500,0.000,0.000,0.779,-0.203,-1.017,-1.219,1.017,0.500
can80,Can 80p/80b,diagnostic,3,positive_nn_risk_fusion_top120,risk-hybrid,360,240,120,240,240,0.667,1.000,0.500,0.333,0.604,-0.053,-0.337,-0.390,0.337,0.500
can80,Can 80p/80b,diagnostic,3,positive_nn_risk_fusion_top160,risk-hybrid,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,positive_nn_risk_fusion_top40,risk-hybrid,120,120,0,240,240,1.000,0.500,0.000,0.000,0.759,-0.147,-0.992,-1.139,0.992,0.500
can80,Can 80p/80b,diagnostic,3,positive_nn_risk_fusion_top80,risk-hybrid,240,237,3,240,240,0.988,0.988,0.013,0.013,0.717,0.008,-0.954,-0.946,0.954,0.975
can80,Can 80p/80b,diagnostic,3,positive_nn_top160_risk_refine_top120,risk-hybrid,360,237,123,240,240,0.658,0.988,0.512,0.342,0.597,-0.142,-0.326,-0.468,0.326,0.475
can80,Can 80p/80b,diagnostic,3,positive_nn_top160_risk_refine_top160,risk-hybrid,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,positive_nn_top160_risk_refine_top80,risk-hybrid,240,235,5,240,240,0.979,0.979,0.021,0.021,0.714,-0.013,-0.943,-0.956,0.943,0.958
can80,Can 80p/80b,diagnostic,3,positive_nn_top80_risk_refine_top40,risk-hybrid,120,120,0,240,240,1.000,0.500,0.000,0.000,0.728,-0.264,-0.989,-1.253,0.989,0.500
can80,Can 80p/80b,diagnostic,3,triple_fusion_top120,risk-hybrid,360,240,120,240,240,0.667,1.000,0.500,0.333,0.631,-0.055,-0.346,-0.401,0.346,0.500
can80,Can 80p/80b,diagnostic,3,triple_fusion_top160,risk-hybrid,480,240,240,240,240,0.500,1.000,1.000,0.500,0.546,0.000,-0.000,0.000,0.000,0.000
can80,Can 80p/80b,diagnostic,3,triple_fusion_top40,risk-hybrid,120,120,0,240,240,1.000,0.500,0.000,0.000,0.805,-0.182,-1.015,-1.197,1.015,0.500
can80,Can 80p/80b,diagnostic,3,triple_fusion_top80,risk-hybrid,240,235,5,240,240,0.979,0.979,0.021,0.021,0.726,0.009,-0.948,-0.939,0.948,0.958
lift_mg,Lift MG,primary,3,positive_nn_top160,positive-only,480,342,138,828,3432,0.713,0.413,0.040,0.287,0.762,0.176,-1.398,-1.222,1.398,0.373
lift_mg,Lift MG,primary,3,positive_nn_top320,positive-only,960,444,516,828,3432,0.463,0.536,0.150,0.537,0.542,0.243,-0.721,-0.478,0.721,0.386
lift_mg,Lift MG,primary,3,positive_nn_top480,positive-only,1440,519,921,828,3432,0.360,0.627,0.268,0.640,0.448,0.241,-0.442,-0.201,0.442,0.358
lift_mg,Lift MG,primary,3,positive_nn_top80,positive-only,240,223,17,828,3432,0.929,0.269,0.005,0.071,0.933,0.160,-2.010,-1.849,2.010,0.264
lift_mg,Lift MG,primary,3,classifier_top160,bad-aware hard,480,462,18,828,3432,0.963,0.558,0.005,0.037,0.961,-0.074,-1.989,-2.063,1.989,0.553
lift_mg,Lift MG,primary,3,classifier_top320,bad-aware hard,960,711,249,828,3432,0.741,0.859,0.073,0.259,0.813,-0.043,-1.357,-1.400,1.357,0.786
lift_mg,Lift MG,primary,3,classifier_top480,bad-aware hard,1440,764,676,828,3432,0.531,0.923,0.197,0.469,0.658,-0.033,-0.861,-0.895,0.861,0.726
lift_mg,Lift MG,primary,3,classifier_top80,bad-aware hard,240,237,3,828,3432,0.988,0.286,0.001,0.013,0.989,0.117,-2.177,-2.060,2.177,0.285
lift_mg,Lift MG,primary,3,triage_existing,bad-aware hard,441,421,20,828,3432,0.955,0.508,0.006,0.045,0.968,-0.055,-1.976,-2.031,1.976,0.503
lift_mg,Lift MG,primary,3,action_safe_top160,risk-only,480,92,388,828,3432,0.192,0.111,0.113,0.808,0.271,-1.609,-0.088,-1.697,0.088,-0.002
lift_mg,Lift MG,primary,3,action_safe_top320,risk-only,960,194,766,828,3432,0.202,0.234,0.223,0.798,0.279,-1.203,-0.074,-1.277,0.074,0.011
lift_mg,Lift MG,primary,3,action_safe_top480,risk-only,1440,298,1142,828,3432,0.207,0.360,0.333,0.793,0.275,-0.948,-0.055,-1.003,0.055,0.027
lift_mg,Lift MG,primary,3,action_safe_top80,risk-only,240,57,183,828,3432,0.237,0.069,0.053,0.762,0.274,-2.037,-0.134,-2.171,0.134,0.016
lift_mg,Lift MG,primary,3,bad_neighbor_safe_top160,risk-only,480,480,0,828,3432,1.000,0.580,0.000,0.000,0.922,-0.009,-2.276,-2.284,2.276,0.580
lift_mg,Lift MG,primary,3,bad_neighbor_safe_top320,risk-only,960,708,252,828,3432,0.738,0.855,0.073,0.263,0.725,-0.091,-1.508,-1.600,1.508,0.782
lift_mg,Lift MG,primary,3,bad_neighbor_safe_top480,risk-only,1440,747,693,828,3432,0.519,0.902,0.202,0.481,0.560,-0.122,-1.050,-1.172,1.050,0.700
lift_mg,Lift MG,primary,3,bad_neighbor_safe_top80,risk-only,240,240,0,828,3432,1.000,0.290,0.000,0.000,0.931,-0.116,-2.729,-2.845,2.729,0.290
lift_mg,Lift MG,primary,3,combined_risk_safe_top160,risk-only,480,380,100,828,3432,0.792,0.459,0.029,0.208,0.754,-0.896,-1.812,-2.708,1.812,0.430
lift_mg,Lift MG,primary,3,combined_risk_safe_top320,risk-only,960,588,372,828,3432,0.613,0.710,0.108,0.388,0.614,-0.759,-1.241,-2.000,1.241,0.602
lift_mg,Lift MG,primary,3,combined_risk_safe_top480,risk-only,1440,682,758,828,3432,0.474,0.824,0.221,0.526,0.510,-0.666,-0.867,-1.533,0.867,0.603
lift_mg,Lift MG,primary,3,combined_risk_safe_top80,risk-only,240,210,30,828,3432,0.875,0.254,0.009,0.125,0.807,-1.076,-2.268,-3.344,2.268,0.245
lift_mg,Lift MG,primary,3,safe_margin_top160,risk-only,480,480,0,828,3432,1.000,0.580,0.000,0.000,0.922,-0.009,-2.276,-2.284,2.276,0.580
lift_mg,Lift MG,primary,3,safe_margin_top320,risk-only,960,708,252,828,3432,0.738,0.855,0.073,0.263,0.725,-0.091,-1.508,-1.600,1.508,0.782
lift_mg,Lift MG,primary,3,safe_margin_top480,risk-only,1440,747,693,828,3432,0.519,0.902,0.202,0.481,0.560,-0.122,-1.050,-1.172,1.050,0.700
lift_mg,Lift MG,primary,3,safe_margin_top80,risk-only,240,240,0,828,3432,1.000,0.290,0.000,0.000,0.931,-0.116,-2.729,-2.845,2.729,0.290
lift_mg,Lift MG,primary,3,classifier_risk_fusion_top160,risk-hybrid,480,472,8,828,3432,0.983,0.570,0.002,0.017,0.928,-0.379,-2.146,-2.525,2.146,0.568
lift_mg,Lift MG,primary,3,classifier_risk_fusion_top320,risk-hybrid,960,693,267,828,3432,0.722,0.837,0.078,0.278,0.762,-0.368,-1.387,-1.755,1.387,0.759
lift_mg,Lift MG,primary,3,classifier_risk_fusion_top480,risk-hybrid,1440,763,677,828,3432,0.530,0.921,0.197,0.470,0.612,-0.370,-0.915,-1.285,0.915,0.724
