experiment,n_pos,n_neg,bad_frac,method,success,selected_frac,selected_demo_purity,hidden_good_demos,hidden_bad_demos,source
bad_label_count,5,2,0.95,TRIAGE-BC gap posterior,0.600,0.057,1.000,10.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,2,0.95,hidden-good oracle,1.000,0.057,1.000,10.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.50,BC-all,0.400,,,,,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.50,local weighted BC,0.200,,,,,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.50,TRIAGE-BC gap support,1.000,0.034,1.000,6.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.50,TRIAGE-BC gap posterior,1.000,0.034,1.000,6.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.50,hidden-good oracle,1.000,0.034,1.000,6.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.75,BC-all,0.340,,,,,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.75,local weighted BC,0.200,,,,,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.75,TRIAGE-BC gap support,1.000,0.062,1.000,11.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.75,TRIAGE-BC gap posterior,1.000,0.062,1.000,11.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.75,hidden-good oracle,1.000,0.062,1.000,11.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.90,BC-all,0.240,,,,,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.90,local weighted BC,0.000,,,,,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.90,TRIAGE-BC gap support,1.000,0.089,1.000,16.0,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.90,TRIAGE-BC gap posterior,1.000,0.089,1.000,16.0,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.90,hidden-good oracle,1.000,0.089,1.000,16.0,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.95,BC-all,0.100,,,,,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.95,local weighted BC,0.140,,,,,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.95,TRIAGE-BC gap support,1.000,0.057,1.000,10.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.95,TRIAGE-BC gap posterior,0.573,0.057,1.000,10.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
bad_label_count,5,5,0.95,hidden-good oracle,1.000,0.057,1.000,10.2,0.0,results/final_paper/ablations/continuous_pointnav_bad_label_count_npos5_REPORT.md
