setting_id,setting_label,proxy,proxy_label,winner_id,winner_label,winner_selected,winner_recall,winner_bad_admission,winner_audit_score,audit_winner_id,audit_winner_label,matches_audit_winner,baseline_id,dominates_positive_nn_baseline
can20,Can 20p/80b,coverage_classifier_hmean,coverage/classifier harmonic,triage_existing,TRIAGE-BC current,123,0.900,0.287,0.613,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_minus_half_risk,coverage - 0.5 risk,triage_existing,TRIAGE-BC current,123,0.900,0.287,0.613,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_minus_one_risk,coverage - 1.0 risk,hybrid_filter_pos_p10_pos20,hybrid filter pos p10 pos20,15,0.250,0.000,0.250,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_minus_two_risk,coverage - 2.0 risk,hybrid_filter_pos_p10_pos20,hybrid filter pos p10 pos20,15,0.250,0.000,0.250,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,false,positive_nn_top20,false
can80,Can 80p/80b,audit_oracle_score,audit oracle,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,240,0.917,0.083,0.833,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,true,positive_nn_top80,false
can80,Can 80p/80b,coverage_fraction,coverage only,classifier_top160,classifier top160,480,1.000,1.000,0.000,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,false,positive_nn_top80,false
can80,Can 80p/80b,classifier_score_norm,classifier score only,hybrid_filter_pos_p10_pos80,hybrid filter pos p10 pos80,58,0.242,0.000,0.242,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_x_classifier,coverage x classifier,classifier_top80,classifier top80,240,0.792,0.208,0.583,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_classifier_hmean,coverage/classifier harmonic,classifier_top80,classifier top80,240,0.792,0.208,0.583,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_minus_half_risk,coverage - 0.5 risk,classifier_top160,classifier top160,480,1.000,1.000,0.000,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_minus_one_risk,coverage - 1.0 risk,hybrid_filter_pos_p10_pos80,hybrid filter pos p10 pos80,58,0.242,0.000,0.242,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_minus_two_risk,coverage - 2.0 risk,hybrid_filter_pos_p10_pos80,hybrid filter pos p10 pos80,58,0.242,0.000,0.242,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,false,positive_nn_top80,false
