task,comparison,left_method,right_method,split_seed,initial_demo_id,left_success_mean,right_success_mean,paired_delta,left_rollouts,right_rollouts
Can 40p/80b,TRIAGE-BC - positive-only NN,TRIAGE-BC,positive-only NN,33,demo_29,0.800,1.000,-0.200,5,5
Can 40p/80b,TRIAGE-BC - positive-only NN,TRIAGE-BC,positive-only NN,33,demo_39,1.000,0.000,1.000,5,5
Can 40p/80b,TRIAGE-BC - positive-only NN,TRIAGE-BC,positive-only NN,33,demo_45,1.000,0.400,0.600,5,5
Can 40p/80b,TRIAGE-BC - positive-only NN,TRIAGE-BC,positive-only NN,33,demo_5,0.800,1.000,-0.200,5,5
Can 40p/80b,TRIAGE-BC - positive-only NN,TRIAGE-BC,positive-only NN,33,demo_53,1.000,1.000,0.000,5,5
Can 40p/80b,TRIAGE-BC - positive-only NN,TRIAGE-BC,positive-only NN,33,demo_81,0.600,1.000,-0.400,5,5
Can 40p/80b,TRIAGE-BC - positive-only NN,TRIAGE-BC,positive-only NN,33,demo_89,0.000,0.600,-0.600,5,5
Can 40p/80b,TRIAGE-BC - positive-only NN,TRIAGE-BC,positive-only NN,33,demo_99,0.000,0.000,0.000,5,5
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1019,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1022,1.000,0.000,1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1024,1.000,0.500,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1102,1.000,0.500,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1127,0.000,0.500,-0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1160,0.500,0.000,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1202,0.500,1.000,-0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1208,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1216,0.000,0.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1229,1.000,0.000,1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1231,0.000,1.000,-1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1254,1.000,0.000,1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1265,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1290,0.000,1.000,-1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1300,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1305,0.000,0.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1325,0.500,1.000,-0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1330,0.000,1.000,-1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1352,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1358,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1360,0.000,0.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1378,0.000,1.000,-1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1383,0.000,1.000,-1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1395,0.000,0.000,0.000,1,1
