setting_id,setting_label,row_role,split_seed,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,source
lift_mg,Lift MG,primary,11,hybrid_filter_mid_mean_fill_classifier_to160,hybrid,160,139,21,276,1144,0.869,0.504,0.018,0.131,0.926,12.438,4.832,13.364,19.075,0.239,-1.702,-1.004,-0.856,1.702,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_filter_mid_mean_pos160,hybrid,105,85,20,276,1144,0.810,0.308,0.017,0.190,0.895,11.911,4.603,12.798,17.536,0.271,-1.461,-1.171,-0.474,1.461,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_filter_mid_minpos_maxneg_fill_classifier_to160,hybrid,160,141,19,276,1144,0.881,0.511,0.017,0.119,0.935,12.487,4.849,13.416,19.198,0.233,-1.719,-0.989,-0.886,1.719,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_filter_mid_minpos_maxneg_pos160,hybrid,102,85,17,276,1144,0.833,0.308,0.015,0.167,0.906,11.928,4.600,12.812,17.686,0.265,-1.494,-1.167,-0.512,1.494,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_filter_pos_min_fill_classifier_to160,hybrid,160,155,5,276,1144,0.969,0.562,0.004,0.031,0.975,13.003,5.003,13.941,20.387,0.162,-1.884,-0.834,-1.181,1.884,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_filter_pos_min_pos160,hybrid,68,68,0,276,1144,1.000,0.246,0.000,0.000,0.981,11.826,4.743,12.763,18.976,0.378,-1.826,-1.181,-0.831,1.826,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_filter_pos_p10_fill_classifier_to160,hybrid,160,154,6,276,1144,0.963,0.558,0.005,0.037,0.976,13.049,5.009,13.985,20.349,0.151,-1.864,-0.822,-1.171,1.864,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_filter_pos_p10_pos160,hybrid,66,66,0,276,1144,1.000,0.239,0.000,0.000,0.983,11.892,4.776,12.834,18.978,0.377,-1.809,-1.160,-0.832,1.809,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_intersection_pos160_classifier160,hybrid,66,66,0,276,1144,1.000,0.239,0.000,0.000,0.983,11.892,4.776,12.834,18.978,0.377,-1.809,-1.160,-0.832,1.809,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_intersection_pos160_classifier320,hybrid,96,84,12,276,1144,0.875,0.304,0.010,0.125,0.928,11.872,4.544,12.741,18.025,0.249,-1.596,-1.188,-0.596,1.596,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
