split,feature_set,quantile,threshold,demo_id,score,selected_policy,success,positive_success,triage_success
lift707,obs,0.1,0.414547,demo_1351,0.144849,triage,0,0,0
lift707,obs,0.1,0.414547,demo_1361,0.358581,triage,0,0,0
lift707,obs,0.1,0.414547,demo_1377,0.140806,triage,1,1,1
lift707,obs,0.1,0.414547,demo_1401,0.631619,positive,0,0,0
lift707,obs,0.25,0.670419,demo_453,0.317407,triage,0,1,0
lift707,obs,0.25,0.670419,demo_1022,0.311371,triage,0,0,0
lift707,obs,0.25,0.670419,demo_1023,0.897619,positive,1,1,1
lift707,obs,0.25,0.670419,demo_1047,0.552311,triage,0,0,0
lift707,obs,0.25,0.670419,demo_1057,0.539061,triage,0,0,0
lift707,obs,0.25,0.670419,demo_1112,0.694341,positive,1,1,1
lift707,obs,0.25,0.670419,demo_1162,0.496581,triage,1,1,1
lift707,obs,0.25,0.670419,demo_1193,0.876549,positive,0,0,1
lift707,obs,0.25,0.670419,demo_1204,0.416859,triage,0,1,0
lift707,obs,0.25,0.670419,demo_1209,0.336107,triage,1,1,1
lift707,obs,0.25,0.670419,demo_1222,0.328874,triage,1,1,1
lift707,obs,0.25,0.670419,demo_1230,0.399215,triage,0,0,0
lift707,obs,0.25,0.670419,demo_1265,0.527637,triage,0,1,0
lift707,obs,0.25,0.670419,demo_1276,0.630688,triage,1,1,1
lift707,obs,0.25,0.670419,demo_1314,0.677885,positive,1,1,0
lift707,obs,0.25,0.670419,demo_1332,0.772659,positive,1,1,1
lift707,obs,0.25,0.670419,demo_1351,0.144849,triage,0,0,0
lift707,obs,0.25,0.670419,demo_1361,0.358581,triage,0,0,0
lift707,obs,0.25,0.670419,demo_1377,0.140806,triage,1,1,1
lift707,obs,0.25,0.670419,demo_1401,0.631619,triage,0,0,0
lift707,obs,0.5,0.702879,demo_453,0.317407,triage,0,1,0
lift707,obs,0.5,0.702879,demo_1022,0.311371,triage,0,0,0
lift707,obs,0.5,0.702879,demo_1023,0.897619,positive,1,1,1
lift707,obs,0.5,0.702879,demo_1047,0.552311,triage,0,0,0
lift707,obs,0.5,0.702879,demo_1057,0.539061,triage,0,0,0
lift707,obs,0.5,0.702879,demo_1112,0.694341,triage,1,1,1
lift707,obs,0.5,0.702879,demo_1162,0.496581,triage,1,1,1
lift707,obs,0.5,0.702879,demo_1193,0.876549,positive,0,0,1
lift707,obs,0.5,0.702879,demo_1204,0.416859,triage,0,1,0
lift707,obs,0.5,0.702879,demo_1209,0.336107,triage,1,1,1
lift707,obs,0.5,0.702879,demo_1222,0.328874,triage,1,1,1
lift707,obs,0.5,0.702879,demo_1230,0.399215,triage,0,0,0
lift707,obs,0.5,0.702879,demo_1265,0.527637,triage,0,1,0
lift707,obs,0.5,0.702879,demo_1276,0.630688,triage,1,1,1
lift707,obs,0.5,0.702879,demo_1314,0.677885,triage,0,1,0
lift707,obs,0.5,0.702879,demo_1332,0.772659,positive,1,1,1
lift707,obs,0.5,0.702879,demo_1351,0.144849,triage,0,0,0
lift707,obs,0.5,0.702879,demo_1361,0.358581,triage,0,0,0
lift707,obs,0.5,0.702879,demo_1377,0.140806,triage,1,1,1
lift707,obs,0.5,0.702879,demo_1401,0.631619,triage,0,0,0
lift707,obs_policy,0.1,0.875562,demo_453,0.805394,triage,0,1,0
lift707,obs_policy,0.1,0.875562,demo_1022,0.106427,triage,0,0,0
lift707,obs_policy,0.1,0.875562,demo_1023,0.975352,positive,1,1,1
lift707,obs_policy,0.1,0.875562,demo_1047,0.986768,positive,0,0,0
lift707,obs_policy,0.1,0.875562,demo_1057,0.727074,triage,0,0,0
lift707,obs_policy,0.1,0.875562,demo_1112,0.965804,positive,1,1,1
lift707,obs_policy,0.1,0.875562,demo_1162,0.962297,positive,1,1,1
lift707,obs_policy,0.1,0.875562,demo_1193,0.909215,positive,0,0,1
lift707,obs_policy,0.1,0.875562,demo_1204,0.739542,triage,0,1,0
lift707,obs_policy,0.1,0.875562,demo_1209,0.050706,triage,1,1,1
lift707,obs_policy,0.1,0.875562,demo_1222,0.702529,triage,1,1,1
lift707,obs_policy,0.1,0.875562,demo_1230,0.100768,triage,0,0,0
lift707,obs_policy,0.1,0.875562,demo_1265,0.823799,triage,0,1,0
lift707,obs_policy,0.1,0.875562,demo_1276,0.967728,positive,1,1,1
lift707,obs_policy,0.1,0.875562,demo_1314,0.959605,positive,1,1,0
lift707,obs_policy,0.1,0.875562,demo_1332,0.972711,positive,1,1,1
lift707,obs_policy,0.1,0.875562,demo_1351,0.151116,triage,0,0,0
lift707,obs_policy,0.1,0.875562,demo_1361,0.045341,triage,0,0,0
lift707,obs_policy,0.1,0.875562,demo_1377,0.409101,triage,1,1,1
lift707,obs_policy,0.1,0.875562,demo_1401,0.917571,positive,0,0,0
lift707,obs_policy,0.25,0.888568,demo_453,0.805394,triage,0,1,0
lift707,obs_policy,0.25,0.888568,demo_1022,0.106427,triage,0,0,0
lift707,obs_policy,0.25,0.888568,demo_1023,0.975352,positive,1,1,1
lift707,obs_policy,0.25,0.888568,demo_1047,0.986768,positive,0,0,0
lift707,obs_policy,0.25,0.888568,demo_1057,0.727074,triage,0,0,0
lift707,obs_policy,0.25,0.888568,demo_1112,0.965804,positive,1,1,1
lift707,obs_policy,0.25,0.888568,demo_1162,0.962297,positive,1,1,1
lift707,obs_policy,0.25,0.888568,demo_1193,0.909215,positive,0,0,1
lift707,obs_policy,0.25,0.888568,demo_1204,0.739542,triage,0,1,0
lift707,obs_policy,0.25,0.888568,demo_1209,0.050706,triage,1,1,1
lift707,obs_policy,0.25,0.888568,demo_1222,0.702529,triage,1,1,1
lift707,obs_policy,0.25,0.888568,demo_1230,0.100768,triage,0,0,0
lift707,obs_policy,0.25,0.888568,demo_1265,0.823799,triage,0,1,0
lift707,obs_policy,0.25,0.888568,demo_1276,0.967728,positive,1,1,1
lift707,obs_policy,0.25,0.888568,demo_1314,0.959605,positive,1,1,0
lift707,obs_policy,0.25,0.888568,demo_1332,0.972711,positive,1,1,1
lift707,obs_policy,0.25,0.888568,demo_1351,0.151116,triage,0,0,0
lift707,obs_policy,0.25,0.888568,demo_1361,0.045341,triage,0,0,0
lift707,obs_policy,0.25,0.888568,demo_1377,0.409101,triage,1,1,1
lift707,obs_policy,0.25,0.888568,demo_1401,0.917571,positive,0,0,0
lift707,obs_policy,0.5,0.92229,demo_453,0.805394,triage,0,1,0
lift707,obs_policy,0.5,0.92229,demo_1022,0.106427,triage,0,0,0
lift707,obs_policy,0.5,0.92229,demo_1023,0.975352,positive,1,1,1
lift707,obs_policy,0.5,0.92229,demo_1047,0.986768,positive,0,0,0
lift707,obs_policy,0.5,0.92229,demo_1057,0.727074,triage,0,0,0
lift707,obs_policy,0.5,0.92229,demo_1112,0.965804,positive,1,1,1
lift707,obs_policy,0.5,0.92229,demo_1162,0.962297,positive,1,1,1
lift707,obs_policy,0.5,0.92229,demo_1193,0.909215,triage,1,0,1
lift707,obs_policy,0.5,0.92229,demo_1204,0.739542,triage,0,1,0
lift707,obs_policy,0.5,0.92229,demo_1209,0.050706,triage,1,1,1
lift707,obs_policy,0.5,0.92229,demo_1222,0.702529,triage,1,1,1
lift707,obs_policy,0.5,0.92229,demo_1230,0.100768,triage,0,0,0
lift707,obs_policy,0.5,0.92229,demo_1265,0.823799,triage,0,1,0
lift707,obs_policy,0.5,0.92229,demo_1276,0.967728,positive,1,1,1
lift707,obs_policy,0.5,0.92229,demo_1314,0.959605,positive,1,1,0
lift707,obs_policy,0.5,0.92229,demo_1332,0.972711,positive,1,1,1
lift707,obs_policy,0.5,0.92229,demo_1351,0.151116,triage,0,0,0
lift707,obs_policy,0.5,0.92229,demo_1361,0.045341,triage,0,0,0
lift707,obs_policy,0.5,0.92229,demo_1377,0.409101,triage,1,1,1
lift707,obs_policy,0.5,0.92229,demo_1401,0.917571,triage,0,0,0
