split,episode,initial_demo_id,positive_top_prob,positive_entropy,positive_logit_gap,positive_top_scale_mean,positive_support_margin,positive_support_pos_dist,positive_support_neg_dist,triage_top_prob,triage_entropy,triage_logit_gap,triage_top_scale_mean,triage_support_margin,triage_support_pos_dist,triage_support_neg_dist,positive_triage_action_l2,positive_logp_self,positive_logp_under_triage,positive_logp_margin_vs_triage,triage_logp_self,triage_logp_under_positive,triage_logp_margin_vs_positive,triage_minus_positive_top_prob,triage_minus_positive_entropy,triage_minus_positive_logit_gap,triage_minus_positive_support_margin,positive_success,triage_success,oracle_success
lift606,13,demo_1283,0.58325,0.973858,0.603174,0.138201,-0.067871,1.489286,1.421415,0.5316,1.191577,0.937608,0.163919,-0.186967,1.49184,1.304872,0.244334,9.201601,7.790486,1.411115,8.802352,6.528485,2.273867,-0.05165,0.217719,0.334434,-0.119096,0,0,0
lift606,14,demo_1294,0.452414,1.260407,0.515849,0.120471,0.172733,1.816658,1.989391,0.514499,1.174125,0.683064,0.144043,0.145586,1.83413,1.979716,0.082096,9.172056,8.111262,1.060794,8.516987,8.83299,-0.316003,0.062085,-0.086282,0.167215,-0.027147,0,0,0
lift606,15,demo_1296,0.550065,1.072671,0.59253,0.129219,0.051498,0.918827,0.970324,0.490448,1.231282,0.71063,0.187214,-0.247335,1.198155,0.95082,0.415624,9.473464,6.053449,3.420015,8.254122,0.962635,7.291487,-0.059617,0.158611,0.1181,-0.298833,1,1,1
lift606,16,demo_1300,0.473301,1.265109,0.853684,0.124316,0.360182,0.688356,1.048537,0.560537,1.165848,1.243669,0.149421,0.129237,0.745823,0.87506,0.190766,8.969995,8.182341,0.787654,8.599982,8.592449,0.007533,0.087236,-0.099261,0.389985,-0.230945,1,1,1
lift606,17,demo_1306,0.443473,1.250261,0.398166,0.119594,0.185002,2.296253,2.481255,0.38023,1.267786,0.148053,0.314791,0.594936,2.38313,2.978066,0.837093,8.884693,6.669522,2.215171,3.335317,-2.535097,5.870414,-0.063243,0.017525,-0.250113,0.409934,1,0,1
lift606,18,demo_1310,0.494539,1.214986,0.65286,0.120202,0.172382,1.663217,1.835598,0.424815,1.253836,0.391541,0.130683,0.169997,1.666529,1.836526,0.12065,8.910304,7.888774,1.02153,8.654196,8.010081,0.644115,-0.069724,0.03885,-0.261319,-0.002385,1,1,1
lift606,19,demo_1339,0.475583,1.264021,0.86622,0.127008,0.382845,0.881721,1.264566,0.464141,1.268863,0.778926,0.159176,0.222088,0.951111,1.173199,0.16493,8.639094,7.271044,1.36805,7.946423,7.467436,0.478987,-0.011442,0.004842,-0.087294,-0.160757,0,0,0
lift707,0,demo_453,0.5247,1.204314,0.950602,0.140093,2.15779,0.998893,3.156683,0.614054,1.016792,1.059378,0.171534,1.941462,1.040094,2.981556,0.264261,9.861859,7.476381,2.385478,8.004495,5.643327,2.361168,0.089354,-0.187522,0.108776,-0.216328,1,0,1
lift707,1,demo_1022,0.481044,1.024553,0.148907,0.315031,-0.104859,1.885052,1.780193,0.423219,1.184527,0.137054,0.242517,0.075421,1.521789,1.59721,0.868534,3.023862,3.569684,-0.545822,4.948658,3.670835,1.277823,-0.057825,0.159974,-0.011853,0.18028,0,0,0
lift707,2,demo_1023,0.465651,1.238111,0.523838,0.126982,2.117389,1.054877,3.172266,0.488044,1.202836,0.553905,0.160803,2.068784,1.04904,3.117824,0.237428,9.984332,7.952221,2.032111,8.339424,8.895914,-0.55649,0.022393,-0.035275,0.030067,-0.048605,1,1,1
lift707,3,demo_1047,0.469938,1.245129,0.726535,0.138497,2.677276,0.880276,3.557552,0.555479,1.080526,0.749735,0.186687,2.08816,1.126501,3.21466,0.423871,10.025167,6.175544,3.849623,7.532372,0.808959,6.723413,0.085541,-0.164603,0.0232,-0.589116,0,0,0
lift707,4,demo_1057,0.440797,1.248513,0.380607,0.13804,0.245537,0.797364,1.042901,0.552448,1.080837,0.690179,0.174773,0.193717,1.106919,1.300636,0.468187,9.792547,5.620549,4.171998,7.140505,3.23336,3.907145,0.111651,-0.167676,0.309572,-0.05182,0,0,0
lift707,5,demo_1112,0.358796,1.306126,0.107024,0.134392,2.118699,1.004896,3.123595,0.490833,1.153623,0.435512,0.166969,2.09098,0.970053,3.061033,0.307136,9.257275,7.128438,2.128837,7.779254,7.100708,0.678546,0.132037,-0.152503,0.328488,-0.027719,1,1,1
lift707,6,demo_1162,0.362506,1.330678,0.196088,0.144551,2.188165,1.053523,3.241688,0.563248,1.065471,0.715753,0.172466,2.200734,1.059145,3.259879,0.258452,9.366648,7.23194,2.134708,7.710288,7.592634,0.117654,0.200742,-0.265207,0.519665,0.012569,1,1,1
lift707,7,demo_1193,0.390832,1.304961,0.262519,0.12168,0.43038,0.628616,1.058996,0.608555,1.05748,1.081014,0.177448,0.395024,0.882903,1.277927,0.381213,8.904685,7.44587,1.458815,8.022105,4.77019,3.251915,0.217723,-0.247481,0.818495,-0.035356,0,1,1
lift707,8,demo_1204,0.453614,1.256966,0.623376,0.1394,0.718743,0.52299,1.241733,0.503658,1.142927,0.501609,0.166531,0.689649,0.672032,1.361681,0.405811,9.655854,6.282481,3.373373,7.361161,5.967379,1.393782,0.050044,-0.114039,-0.121767,-0.029094,1,0,1
lift707,9,demo_1209,0.582705,1.097274,1.000367,0.137377,0.292911,1.130909,1.42382,0.649948,0.97443,1.172634,0.158942,0.343128,1.054947,1.398075,0.274323,9.755845,7.732073,2.023772,8.224069,6.75398,1.470089,0.067243,-0.122844,0.172267,0.050217,1,1,1
lift707,10,demo_1222,0.317528,1.330376,0.031978,0.306865,0.093492,0.987653,1.081145,0.563987,1.092059,0.805047,0.191971,-0.081263,1.125141,1.043877,0.262094,1.877004,2.200094,-0.32309,7.281381,2.786171,4.49521,0.246459,-0.238317,0.773069,-0.174755,1,1,1
lift707,11,demo_1230,0.470532,0.999496,0.072996,0.327137,-0.452965,2.099965,1.647,0.428195,1.214345,0.266436,0.246619,0.180102,1.587986,1.768088,1.012304,2.997723,2.723672,0.274051,4.711088,3.384525,1.326563,-0.042337,0.214849,0.19344,0.633067,0,0,0
lift707,12,demo_1265,0.484207,1.193919,0.708336,0.121073,0.729757,0.890313,1.620071,0.660209,0.98259,1.38447,0.180881,0.303539,1.018775,1.322314,0.380382,9.305717,7.67781,1.627907,8.358641,5.4014,2.957241,0.176002,-0.211329,0.676134,-0.426218,1,0,1
lift707,13,demo_1276,0.395025,1.331634,0.521807,0.291907,2.154105,0.890991,3.045096,0.489434,1.081606,0.30928,0.198024,2.188437,0.816416,3.004853,0.409911,1.954377,0.291329,1.663048,6.180407,4.32843,1.851977,0.094409,-0.250028,-0.212527,0.034332,1,1,1
lift707,14,demo_1314,0.340157,1.344482,0.127173,0.294574,2.057152,1.090394,3.147546,0.532161,1.064197,0.49624,0.172501,2.115927,1.020448,3.136375,0.416684,1.654363,-1.560673,3.215036,7.35529,6.858584,0.496706,0.192004,-0.280285,0.369067,0.058775,1,0,1
lift707,15,demo_1332,0.318698,1.342475,0.10408,0.143433,1.744865,1.108459,2.853324,0.451413,1.147955,0.186952,0.169105,1.904773,0.904423,2.809196,0.363926,9.230289,6.449248,2.781041,7.407979,6.195098,1.212881,0.132715,-0.19452,0.082872,0.159908,1,1,1
lift707,16,demo_1351,0.447528,1.048849,0.03704,0.241295,-0.556009,1.445804,0.889794,0.536946,1.049604,0.466804,0.203255,-0.533144,1.683538,1.150394,0.68695,8.167531,4.997584,3.169947,6.699934,2.376941,4.322993,0.089418,0.000755,0.429764,0.022865,0,0,0
lift707,17,demo_1361,0.410621,1.218119,0.132476,0.324746,-0.56143,1.39211,0.830681,0.532417,1.09886,0.541449,0.196463,-0.774045,1.554499,0.780453,0.250331,2.595279,3.888003,-1.292724,7.125231,2.824748,4.300483,0.121796,-0.119259,0.408973,-0.212615,0,0,0
lift707,18,demo_1377,0.412907,1.26392,0.242139,0.128521,-0.02922,0.832368,0.803148,0.581637,1.073695,0.881677,0.174416,0.000118,1.139114,1.139232,0.40865,9.4211,6.783297,2.637803,7.660488,5.066503,2.593985,0.16873,-0.190225,0.639538,0.029338,1,1,1
lift707,19,demo_1401,0.468764,1.15721,0.493412,0.135373,0.816577,0.996622,1.813199,0.657687,0.961302,1.21137,0.183182,0.352555,1.426207,1.778762,0.521307,9.191253,6.165645,3.025608,7.721862,3.015875,4.705987,0.188923,-0.195908,0.717958,-0.464022,0,0,0
