feature,direction,threshold,successes,episodes,switches,fresh_successes,fresh_episodes,fresh_switches,fresh_switched_demos
positive_triage_action_l2,lt,0.13635,15,20,6,12,20,0,
triage_logit_gap,gt,1.071919,15,20,6,12,20,4,"demo_1193,demo_1209,demo_1265,demo_1401"
triage_logp_margin_vs_positive,lt,0.326634,15,20,6,12,20,2,"demo_1023,demo_1162"
triage_logp_under_positive,gt,8.000896,15,20,6,12,20,1,demo_1023
triage_top_scale_mean,gt,0.174737,15,20,6,12,20,11,"demo_1022,demo_1047,demo_1057,demo_1193,demo_1222,demo_1230,demo_1265,demo_1276,demo_1351,demo_1361,demo_1401"
triage_top_scale_mean,lt,0.148238,15,20,6,12,20,0,
positive_logp_self,gt,8.897499,15,20,7,10,20,13,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1332,demo_1377,demo_1401"
positive_logp_under_triage,gt,7.748299,15,20,7,12,20,1,demo_1023
positive_support_margin,gt,0.273096,15,20,7,9,20,13,"demo_453,demo_1023,demo_1047,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1401"
triage_logp_margin_vs_positive,lt,0.542085,15,20,7,11,20,3,"demo_1023,demo_1162,demo_1314"
triage_logp_under_positive,gt,7.954616,15,20,7,12,20,1,demo_1023
triage_top_scale_mean,lt,0.151015,15,20,7,12,20,0,
positive_entropy,lt,1.253659,15,20,8,10,20,11,"demo_453,demo_1022,demo_1023,demo_1047,demo_1057,demo_1209,demo_1230,demo_1265,demo_1351,demo_1361,demo_1401"
positive_logp_under_triage,gt,7.704161,15,20,8,12,20,2,"demo_1023,demo_1209"
positive_support_margin,gt,0.238229,15,20,8,9,20,14,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1401"
triage_logp_margin_vs_positive,lt,0.624649,15,20,8,11,20,3,"demo_1023,demo_1162,demo_1314"
triage_minus_positive_entropy,gt,-0.03194,15,20,8,12,20,3,"demo_1022,demo_1230,demo_1351"
triage_minus_positive_support_margin,lt,-0.119583,15,20,8,10,20,6,"demo_453,demo_1047,demo_1222,demo_1265,demo_1361,demo_1401"
positive_logp_under_triage,gt,7.604752,15,20,9,11,20,3,"demo_1023,demo_1209,demo_1265"
positive_top_prob,gt,0.473472,15,20,9,10,20,4,"demo_453,demo_1022,demo_1209,demo_1265"
triage_logp_margin_vs_positive,lt,0.645404,15,20,9,11,20,3,"demo_1023,demo_1162,demo_1314"
triage_minus_positive_entropy,gt,-0.050551,15,20,9,12,20,4,"demo_1022,demo_1023,demo_1230,demo_1351"
triage_minus_positive_support_margin,lt,-0.116367,15,20,9,10,20,6,"demo_453,demo_1047,demo_1222,demo_1265,demo_1361,demo_1401"
triage_minus_positive_top_prob,lt,0.057856,15,20,9,11,20,4,"demo_1022,demo_1023,demo_1204,demo_1230"
positive_logit_gap,gt,0.581314,15,20,10,9,20,5,"demo_453,demo_1047,demo_1204,demo_1209,demo_1265"
positive_top_prob,gt,0.46919,15,20,10,10,20,6,"demo_453,demo_1022,demo_1047,demo_1209,demo_1230,demo_1265"
triage_minus_positive_entropy,gt,-0.067399,15,20,10,12,20,4,"demo_1022,demo_1023,demo_1230,demo_1351"
triage_minus_positive_support_margin,lt,-0.091568,15,20,10,10,20,6,"demo_453,demo_1047,demo_1222,demo_1265,demo_1361,demo_1401"
triage_minus_positive_top_prob,lt,0.062114,15,20,10,11,20,4,"demo_1022,demo_1023,demo_1204,demo_1230"
positive_logit_gap,gt,0.570842,15,20,11,9,20,5,"demo_453,demo_1047,demo_1204,demo_1209,demo_1265"
positive_support_margin,gt,0.193614,15,20,11,9,20,14,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1401"
positive_support_pos_dist,lt,1.338353,15,20,11,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1222,demo_1265,demo_1276,demo_1314,demo_1332,demo_1377,demo_1401"
positive_top_prob,gt,0.458747,15,20,11,10,20,8,"demo_453,demo_1022,demo_1023,demo_1047,demo_1209,demo_1230,demo_1265,demo_1401"
triage_minus_positive_entropy,gt,-0.074572,15,20,11,12,20,4,"demo_1022,demo_1023,demo_1230,demo_1351"
triage_minus_positive_support_margin,lt,-0.052451,15,20,11,10,20,6,"demo_453,demo_1047,demo_1222,demo_1265,demo_1361,demo_1401"
triage_minus_positive_top_prob,lt,0.074689,15,20,11,11,20,5,"demo_1022,demo_1023,demo_1204,demo_1209,demo_1230"
positive_logit_gap,gt,0.542443,15,20,12,9,20,5,"demo_453,demo_1047,demo_1204,demo_1209,demo_1265"
positive_top_prob,gt,0.447943,15,20,12,9,20,9,"demo_453,demo_1022,demo_1023,demo_1047,demo_1204,demo_1209,demo_1230,demo_1265,demo_1401"
triage_minus_positive_entropy,gt,-0.081489,15,20,12,12,20,4,"demo_1022,demo_1023,demo_1230,demo_1351"
triage_minus_positive_support_margin,lt,-0.031275,15,20,12,11,20,9,"demo_453,demo_1023,demo_1047,demo_1057,demo_1193,demo_1222,demo_1265,demo_1361,demo_1401"
triage_minus_positive_top_prob,lt,0.089553,15,20,12,10,20,8,"demo_453,demo_1022,demo_1023,demo_1047,demo_1204,demo_1209,demo_1230,demo_1351"
triage_top_prob,lt,0.547462,15,20,12,10,20,10,"demo_1022,demo_1023,demo_1112,demo_1204,demo_1230,demo_1276,demo_1314,demo_1332,demo_1351,demo_1361"
positive_logit_gap,gt,0.458974,15,20,13,9,20,8,"demo_453,demo_1023,demo_1047,demo_1204,demo_1209,demo_1265,demo_1276,demo_1401"
triage_minus_positive_entropy,gt,-0.092772,15,20,13,12,20,4,"demo_1022,demo_1023,demo_1230,demo_1351"
triage_minus_positive_support_margin,lt,-0.021211,15,20,13,10,20,11,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1193,demo_1204,demo_1222,demo_1265,demo_1361,demo_1401"
triage_minus_positive_top_prob,lt,0.096475,15,20,13,10,20,9,"demo_453,demo_1022,demo_1023,demo_1047,demo_1204,demo_1209,demo_1230,demo_1276,demo_1351"
triage_support_margin,lt,0.201404,15,20,13,12,20,7,"demo_1022,demo_1057,demo_1222,demo_1230,demo_1351,demo_1361,demo_1377"
positive_logit_gap,gt,0.400217,15,20,14,9,20,8,"demo_453,demo_1023,demo_1047,demo_1204,demo_1209,demo_1265,demo_1276,demo_1401"
triage_minus_positive_entropy,gt,-0.123478,15,20,14,11,20,7,"demo_1022,demo_1023,demo_1204,demo_1209,demo_1230,demo_1351,demo_1361"
triage_minus_positive_support_margin,lt,-0.014979,15,20,14,10,20,11,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1193,demo_1204,demo_1222,demo_1265,demo_1361,demo_1401"
triage_minus_positive_top_prob,lt,0.11449,15,20,14,10,20,10,"demo_453,demo_1022,demo_1023,demo_1047,demo_1057,demo_1204,demo_1209,demo_1230,demo_1276,demo_1351"
triage_support_margin,lt,0.225398,15,20,14,12,20,7,"demo_1022,demo_1057,demo_1222,demo_1230,demo_1351,demo_1361,demo_1377"
positive_logit_gap,gt,0.398251,15,20,15,9,20,8,"demo_453,demo_1023,demo_1047,demo_1204,demo_1209,demo_1265,demo_1276,demo_1401"
positive_logp_margin_vs_triage,gt,0.909267,15,20,15,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
triage_entropy,gt,1.111036,15,20,15,11,20,6,"demo_1022,demo_1023,demo_1112,demo_1204,demo_1230,demo_1332"
triage_minus_positive_entropy,gt,-0.149123,15,20,15,11,20,7,"demo_1022,demo_1023,demo_1204,demo_1209,demo_1230,demo_1351,demo_1361"
triage_minus_positive_top_prob,lt,0.141061,15,20,15,10,20,13,"demo_453,demo_1022,demo_1023,demo_1047,demo_1057,demo_1112,demo_1204,demo_1209,demo_1230,demo_1276,demo_1332,demo_1351,demo_1361"
positive_logit_gap,gt,0.388232,15,20,17,9,20,8,"demo_453,demo_1023,demo_1047,demo_1204,demo_1209,demo_1265,demo_1276,demo_1401"
triage_entropy,gt,1.099081,15,20,17,11,20,6,"demo_1022,demo_1023,demo_1112,demo_1204,demo_1230,demo_1332"
triage_minus_positive_support_margin,lt,0.056163,15,20,17,10,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1222,demo_1265,demo_1276,demo_1351,demo_1361,demo_1377,demo_1401"
triage_minus_positive_support_margin,lt,0.116446,15,20,18,9,20,17,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1222,demo_1265,demo_1276,demo_1314,demo_1351,demo_1361,demo_1377,demo_1401"
positive_entropy,gt,1.352376,14,20,0,12,20,0,
positive_entropy,lt,0.973857,14,20,0,12,20,0,
positive_logit_gap,gt,1.078589,14,20,0,12,20,0,
positive_logit_gap,lt,0.111073,14,20,0,12,20,5,"demo_1112,demo_1222,demo_1230,demo_1332,demo_1351"
positive_logp_margin_vs_triage,gt,3.420016,14,20,0,12,20,2,"demo_1047,demo_1057"
positive_logp_margin_vs_triage,lt,0.316623,14,20,0,12,20,4,"demo_1022,demo_1222,demo_1230,demo_1361"
positive_logp_self,gt,10.49474,14,20,0,12,20,0,
positive_logp_self,lt,7.398311,14,20,0,11,20,6,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1361"
positive_logp_under_triage,gt,8.825902,14,20,0,12,20,0,
positive_logp_under_triage,lt,4.557884,14,20,0,11,20,6,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1361"
positive_support_margin,gt,1.107326,14,20,0,10,20,8,"demo_453,demo_1023,demo_1047,demo_1112,demo_1162,demo_1276,demo_1314,demo_1332"
positive_support_margin,lt,-0.08195,14,20,0,12,20,4,"demo_1022,demo_1230,demo_1351,demo_1361"
positive_support_pos_dist,gt,2.296254,14,20,0,12,20,0,
positive_support_pos_dist,lt,0.600518,14,20,0,11,20,1,demo_1204
positive_top_prob,gt,0.583251,14,20,0,12,20,0,
positive_top_prob,lt,0.359523,14,20,0,11,20,4,"demo_1112,demo_1222,demo_1314,demo_1332"
positive_top_scale_mean,gt,0.171748,14,20,0,11,20,7,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1351,demo_1361"
positive_top_scale_mean,lt,0.102105,14,20,0,12,20,0,
positive_triage_action_l2,gt,0.837094,14,20,0,12,20,2,"demo_1022,demo_1230"
positive_triage_action_l2,lt,0.082095,14,20,0,12,20,0,
triage_entropy,gt,1.268864,14,20,0,12,20,0,
triage_entropy,lt,0.9863,14,20,0,11,20,3,"demo_1209,demo_1265,demo_1401"
triage_logit_gap,gt,1.695994,14,20,0,12,20,0,
triage_logit_gap,lt,0.148052,14,20,0,12,20,1,demo_1022
triage_logp_margin_vs_positive,gt,7.291488,14,20,0,12,20,0,
triage_logp_margin_vs_positive,lt,-0.422537,14,20,0,12,20,1,demo_1023
triage_logp_self,gt,9.340652,14,20,0,12,20,0,
triage_logp_self,lt,3.335316,14,20,0,12,20,0,
triage_logp_under_positive,gt,9.525646,14,20,0,12,20,0,
triage_logp_under_positive,lt,-2.535098,14,20,0,12,20,0,
triage_minus_positive_entropy,gt,0.21772,14,20,0,12,20,0,
triage_minus_positive_entropy,lt,-0.319981,14,20,0,12,20,0,
triage_minus_positive_logit_gap,gt,1.123347,14,20,0,12,20,0,
triage_minus_positive_logit_gap,lt,-0.46689,14,20,0,12,20,0,
triage_minus_positive_support_margin,gt,0.409935,14,20,0,12,20,1,demo_1230
triage_minus_positive_support_margin,lt,-0.298834,14,20,0,11,20,3,"demo_1047,demo_1265,demo_1401"
triage_minus_positive_top_prob,gt,0.250321,14,20,0,12,20,0,
triage_minus_positive_top_prob,lt,-0.069725,14,20,0,12,20,0,
triage_support_margin,gt,1.037828,14,20,0,10,20,8,"demo_453,demo_1023,demo_1047,demo_1112,demo_1162,demo_1276,demo_1314,demo_1332"
triage_support_margin,lt,-0.247336,14,20,0,12,20,2,"demo_1351,demo_1361"
triage_top_prob,gt,0.674355,14,20,0,12,20,0,
triage_top_prob,lt,0.380229,14,20,0,12,20,0,
triage_top_scale_mean,gt,0.314792,14,20,0,12,20,0,
triage_top_scale_mean,lt,0.130682,14,20,0,12,20,0,
positive_entropy,lt,1.023265,14,20,1,12,20,1,demo_1230
positive_logit_gap,lt,0.222164,14,20,1,11,20,9,"demo_1022,demo_1112,demo_1162,demo_1222,demo_1230,demo_1314,demo_1332,demo_1351,demo_1361"
positive_logp_margin_vs_triage,gt,3.326325,14,20,1,11,20,3,"demo_1047,demo_1057,demo_1204"
positive_logp_margin_vs_triage,lt,0.552139,14,20,1,12,20,4,"demo_1022,demo_1222,demo_1230,demo_1361"
positive_logp_under_triage,gt,8.619851,14,20,1,12,20,0,
positive_logp_under_triage,lt,4.783597,14,20,1,11,20,6,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1361"
positive_support_margin,gt,0.933706,14,20,1,10,20,8,"demo_453,demo_1023,demo_1047,demo_1112,demo_1162,demo_1276,demo_1314,demo_1332"
positive_support_pos_dist,lt,0.644437,14,20,1,12,20,2,"demo_1193,demo_1204"
positive_top_prob,gt,0.577807,14,20,1,12,20,1,demo_1209
positive_triage_action_l2,lt,0.087193,14,20,1,12,20,0,
triage_entropy,gt,1.268325,14,20,1,12,20,0,
triage_entropy,lt,1.021121,14,20,1,10,20,4,"demo_453,demo_1209,demo_1265,demo_1401"
triage_logit_gap,gt,1.641901,14,20,1,12,20,0,
triage_logp_margin_vs_positive,gt,7.010686,14,20,1,12,20,0,
triage_logp_self,gt,9.22188,14,20,1,12,20,0,
triage_minus_positive_entropy,gt,0.188165,14,20,1,12,20,1,demo_1230
triage_minus_positive_entropy,lt,-0.286774,14,20,1,12,20,0,
triage_minus_positive_logit_gap,gt,1.0635,14,20,1,12,20,0,
triage_minus_positive_support_margin,lt,-0.287415,14,20,1,11,20,3,"demo_1047,demo_1265,demo_1401"
triage_minus_positive_top_prob,gt,0.23604,14,20,1,12,20,1,demo_1222
triage_minus_positive_top_prob,lt,-0.066484,14,20,1,12,20,0,
triage_support_margin,gt,0.95429,14,20,1,10,20,8,"demo_453,demo_1023,demo_1047,demo_1112,demo_1162,demo_1276,demo_1314,demo_1332"
triage_support_margin,lt,-0.217151,14,20,1,12,20,2,"demo_1351,demo_1361"
triage_top_prob,gt,0.654936,14,20,1,11,20,2,"demo_1265,demo_1401"
triage_top_scale_mean,lt,0.131429,14,20,1,12,20,0,
positive_entropy,gt,1.316642,14,20,2,11,20,5,"demo_1162,demo_1222,demo_1276,demo_1314,demo_1332"
positive_entropy,lt,1.096849,14,20,2,12,20,3,"demo_1022,demo_1230,demo_1351"
positive_logp_margin_vs_triage,gt,3.110152,14,20,2,10,20,5,"demo_1047,demo_1057,demo_1204,demo_1314,demo_1351"
positive_logp_margin_vs_triage,lt,0.790999,14,20,2,12,20,4,"demo_1022,demo_1222,demo_1230,demo_1361"
positive_support_margin,gt,0.621765,14,20,2,8,20,11,"demo_453,demo_1023,demo_1047,demo_1112,demo_1162,demo_1204,demo_1265,demo_1276,demo_1314,demo_1332,demo_1401"
positive_support_pos_dist,gt,2.124502,14,20,2,12,20,0,
positive_support_pos_dist,lt,0.733445,14,20,2,12,20,2,"demo_1193,demo_1204"
positive_triage_action_l2,lt,0.097327,14,20,2,12,20,0,
triage_logp_margin_vs_positive,gt,6.300149,14,20,2,12,20,1,demo_1047
triage_logp_self,lt,7.251933,14,20,2,12,20,6,"demo_1022,demo_1057,demo_1230,demo_1276,demo_1351,demo_1361"
triage_minus_positive_entropy,gt,0.107567,14,20,2,12,20,2,"demo_1022,demo_1230"
triage_minus_positive_support_margin,lt,-0.267604,14,20,2,11,20,3,"demo_1047,demo_1265,demo_1401"
triage_support_margin,gt,0.732844,14,20,2,10,20,8,"demo_453,demo_1023,demo_1047,demo_1112,demo_1162,demo_1276,demo_1314,demo_1332"
triage_support_margin,lt,-0.127176,14,20,2,12,20,2,"demo_1351,demo_1361"
triage_top_scale_mean,gt,0.210135,14,20,2,12,20,2,"demo_1022,demo_1230"
positive_entropy,gt,1.305833,14,20,3,11,20,6,"demo_1112,demo_1162,demo_1222,demo_1276,demo_1314,demo_1332"
positive_entropy,lt,1.126729,14,20,3,12,20,4,"demo_1022,demo_1209,demo_1230,demo_1351"
positive_logp_margin_vs_triage,lt,0.831291,14,20,3,12,20,4,"demo_1022,demo_1222,demo_1230,demo_1361"
positive_logp_self,lt,8.003032,14,20,3,11,20,6,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1361"
positive_support_margin,gt,0.453244,14,20,3,8,20,11,"demo_453,demo_1023,demo_1047,demo_1112,demo_1162,demo_1204,demo_1265,demo_1276,demo_1314,demo_1332,demo_1401"
positive_support_pos_dist,gt,1.91002,14,20,3,12,20,1,demo_1230
positive_support_pos_dist,lt,0.797106,14,20,3,12,20,2,"demo_1193,demo_1204"
positive_top_prob,lt,0.404357,14,20,3,12,20,7,"demo_1112,demo_1162,demo_1193,demo_1222,demo_1276,demo_1314,demo_1332"
