method,selector_mode,unlabeled_positive_count,unlabeled_negative_count,unlabeled_bad_fraction,seed,estimated_positive_mass,effective_min,labeled_positive_score_mean,labeled_negative_score_mean,score_gap,adaptive_mode,masscap_mode,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_hidden_positive_recall,selected_score_min,selected_score_mean,selected_score_max
adaptive_posmass,precision_top20,10,80,0.8888888888888888,2,25.898531941558527,40,0.8257226586341858,0.1731152854859829,0.04301515221595764,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5141416192054749,0.6475125283002854,0.8676935434341431
adaptive_masscap,precision_top20,10,80,0.8888888888888888,2,25.898531941558527,40,0.8257226586341858,0.1731152854859829,0.04301515221595764,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5141416192054749,0.6475125283002854,0.8676935434341431
coverage_gap,coverage_gap,10,80,0.8888888888888888,2,25.898531941558527,40,0.8257226586341858,0.1731152854859829,0.04301515221595764,precision_top20,precision_top20,43,10,33,0.23255813953488372,1.0,0.36675316095352173,0.5357305407524109,0.8676935434341431
top20,top20,10,80,0.8888888888888888,2,25.898531941558527,40,0.8257226586341858,0.1731152854859829,0.04301515221595764,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5141416192054749,0.6475125283002854,0.8676935434341431
top40,top40,10,80,0.8888888888888888,2,25.898531941558527,40,0.8257226586341858,0.1731152854859829,0.04301515221595764,precision_top20,precision_top20,40,10,30,0.25,1.0,0.3844165503978729,0.548100933432579,0.8676935434341431
top80,top80,10,80,0.8888888888888888,2,25.898531941558527,40,0.8257226586341858,0.1731152854859829,0.04301515221595764,precision_top20,precision_top20,80,10,70,0.125,1.0,0.11114389449357986,0.3778880417346954,0.8676935434341431
adaptive_posmass,precision_top20,20,80,0.8,0,33.66219061535829,40,0.8253737092018127,0.17710694372653962,0.02679196000099182,precision_top20,precision_top20,20,15,5,0.75,0.75,0.5957435965538025,0.7043061882257462,0.8730028867721558
adaptive_masscap,precision_top20,20,80,0.8,0,33.66219061535829,40,0.8253737092018127,0.17710694372653962,0.02679196000099182,precision_top20,precision_top20,20,15,5,0.75,0.75,0.5957435965538025,0.7043061882257462,0.8730028867721558
coverage_gap,coverage_gap,20,80,0.8,0,33.66219061535829,40,0.8253737092018127,0.17710694372653962,0.02679196000099182,precision_top20,precision_top20,48,20,28,0.4166666666666667,1.0,0.39424049854278564,0.5738737713545561,0.8730028867721558
top20,top20,20,80,0.8,0,33.66219061535829,40,0.8253737092018127,0.17710694372653962,0.02679196000099182,precision_top20,precision_top20,20,15,5,0.75,0.75,0.5957435965538025,0.7043061882257462,0.8730028867721558
top40,top40,20,80,0.8,0,33.66219061535829,40,0.8253737092018127,0.17710694372653962,0.02679196000099182,precision_top20,precision_top20,40,19,21,0.475,0.95,0.450987845659256,0.6051088683307171,0.8730028867721558
top80,top80,20,80,0.8,0,33.66219061535829,40,0.8253737092018127,0.17710694372653962,0.02679196000099182,precision_top20,precision_top20,80,20,60,0.25,1.0,0.18540920317173004,0.45046453829854727,0.8730028867721558
adaptive_posmass,precision_top20,20,80,0.8,1,35.942045368214536,40,0.8217963933944702,0.1657300554215908,0.040567755699157715,precision_top20,precision_top20,20,14,6,0.7,0.7,0.6220568418502808,0.7227058947086334,0.8997684121131897
adaptive_masscap,precision_top20,20,80,0.8,1,35.942045368214536,40,0.8217963933944702,0.1657300554215908,0.040567755699157715,precision_top20,precision_top20,20,14,6,0.7,0.7,0.6220568418502808,0.7227058947086334,0.8997684121131897
coverage_gap,coverage_gap,20,80,0.8,1,35.942045368214536,40,0.8217963933944702,0.1657300554215908,0.040567755699157715,precision_top20,precision_top20,56,20,36,0.35714285714285715,1.0,0.371846079826355,0.562893522637231,0.8997684121131897
top20,top20,20,80,0.8,1,35.942045368214536,40,0.8217963933944702,0.1657300554215908,0.040567755699157715,precision_top20,precision_top20,20,14,6,0.7,0.7,0.6220568418502808,0.7227058947086334,0.8997684121131897
top40,top40,20,80,0.8,1,35.942045368214536,40,0.8217963933944702,0.1657300554215908,0.040567755699157715,precision_top20,precision_top20,40,20,20,0.5,1.0,0.4547276496887207,0.6217430531978607,0.8997684121131897
top80,top80,20,80,0.8,1,35.942045368214536,40,0.8217963933944702,0.1657300554215908,0.040567755699157715,precision_top20,precision_top20,80,20,60,0.25,1.0,0.15144595503807068,0.4623037274926901,0.8997684121131897
adaptive_posmass,precision_top20,20,80,0.8,2,32.578908241960555,40,0.824184674024582,0.17592843025922775,0.04179564118385315,precision_top20,precision_top20,20,16,4,0.8,0.8,0.5687277913093567,0.6982992708683013,0.8656965494155884
adaptive_masscap,precision_top20,20,80,0.8,2,32.578908241960555,40,0.824184674024582,0.17592843025922775,0.04179564118385315,precision_top20,precision_top20,20,16,4,0.8,0.8,0.5687277913093567,0.6982992708683013,0.8656965494155884
coverage_gap,coverage_gap,20,80,0.8,2,32.578908241960555,40,0.824184674024582,0.17592843025922775,0.04179564118385315,precision_top20,precision_top20,53,20,33,0.37735849056603776,1.0,0.3667387068271637,0.5487633904196182,0.8656965494155884
top20,top20,20,80,0.8,2,32.578908241960555,40,0.824184674024582,0.17592843025922775,0.04179564118385315,precision_top20,precision_top20,20,16,4,0.8,0.8,0.5687277913093567,0.6982992708683013,0.8656965494155884
top40,top40,20,80,0.8,2,32.578908241960555,40,0.824184674024582,0.17592843025922775,0.04179564118385315,precision_top20,precision_top20,40,20,20,0.5,1.0,0.44320663809776306,0.5948922455310821,0.8656965494155884
top80,top80,20,80,0.8,2,32.578908241960555,40,0.824184674024582,0.17592843025922775,0.04179564118385315,precision_top20,precision_top20,80,20,60,0.25,1.0,0.14773577451705933,0.4396839102730155,0.8656965494155884
adaptive_posmass,coverage_gap,30,80,0.7272727272727273,0,42.15215007995398,40,0.8251671969890595,0.17857749611139298,0.028615087270736694,coverage_gap,coverage_gap,53,30,23,0.5660377358490566,1.0,0.4355930685997009,0.6178364905546296,0.8897184729576111
adaptive_masscap,coverage_gap,30,80,0.7272727272727273,0,42.15215007995398,40,0.8251671969890595,0.17857749611139298,0.028615087270736694,coverage_gap,coverage_gap,53,30,23,0.5660377358490566,1.0,0.4355930685997009,0.6178364905546296,0.8897184729576111
coverage_gap,coverage_gap,30,80,0.7272727272727273,0,42.15215007995398,40,0.8251671969890595,0.17857749611139298,0.028615087270736694,coverage_gap,coverage_gap,53,30,23,0.5660377358490566,1.0,0.4355930685997009,0.6178364905546296,0.8897184729576111
top20,top20,30,80,0.7272727272727273,0,42.15215007995398,40,0.8251671969890595,0.17857749611139298,0.028615087270736694,coverage_gap,coverage_gap,20,18,2,0.9,0.6,0.6397691965103149,0.7673179119825363,0.8897184729576111
top40,top40,30,80,0.7272727272727273,0,42.15215007995398,40,0.8251671969890595,0.17857749611139298,0.028615087270736694,coverage_gap,coverage_gap,40,26,14,0.65,0.8666666666666667,0.4979637861251831,0.6657696485519409,0.8897184729576111
top80,top80,30,80,0.7272727272727273,0,42.15215007995398,40,0.8251671969890595,0.17857749611139298,0.028615087270736694,coverage_gap,coverage_gap,80,30,50,0.375,1.0,0.22755341231822968,0.517636144720018,0.8897184729576111
adaptive_posmass,coverage_gap,30,80,0.7272727272727273,1,44.122737222495346,40,0.8209512174129486,0.1671340860426426,0.047024041414260864,coverage_gap,top_estimated_mass,75,30,45,0.4,1.0,0.2726384103298187,0.5518872829278311,0.8981653451919556
adaptive_masscap,top_estimated_mass,30,80,0.7272727272727273,1,44.122737222495346,40,0.8209512174129486,0.1671340860426426,0.047024041414260864,coverage_gap,top_estimated_mass,45,27,18,0.6,0.9,0.480507493019104,0.6591586629549663,0.8981653451919556
coverage_gap,coverage_gap,30,80,0.7272727272727273,1,44.122737222495346,40,0.8209512174129486,0.1671340860426426,0.047024041414260864,coverage_gap,top_estimated_mass,75,30,45,0.4,1.0,0.2726384103298187,0.5518872829278311,0.8981653451919556
top20,top20,30,80,0.7272727272727273,1,44.122737222495346,40,0.8209512174129486,0.1671340860426426,0.047024041414260864,coverage_gap,top_estimated_mass,20,19,1,0.95,0.6333333333333333,0.655790388584137,0.7790687263011933,0.8981653451919556
top40,top40,30,80,0.7272727272727273,1,44.122737222495346,40,0.8209512174129486,0.1671340860426426,0.047024041414260864,coverage_gap,top_estimated_mass,40,26,14,0.65,0.8666666666666667,0.5111631155014038,0.6805771872401237,0.8981653451919556
top80,top80,30,80,0.7272727272727273,1,44.122737222495346,40,0.8209512174129486,0.1671340860426426,0.047024041414260864,coverage_gap,top_estimated_mass,80,30,50,0.375,1.0,0.1956147998571396,0.5305091638118029,0.8981653451919556
adaptive_posmass,coverage_gap,30,80,0.7272727272727273,2,40.299934052242236,40,0.8235596120357513,0.17654817476868628,0.032578229904174805,coverage_gap,top_estimated_mass,65,30,35,0.46153846153846156,1.0,0.3272133469581604,0.5630938241114983,0.8713493943214417
adaptive_masscap,top_estimated_mass,30,80,0.7272727272727273,2,40.299934052242236,40,0.8235596120357513,0.17654817476868628,0.032578229904174805,coverage_gap,top_estimated_mass,41,28,13,0.6829268292682927,0.9333333333333333,0.47071483731269836,0.6493345448156682,0.8713493943214417
coverage_gap,coverage_gap,30,80,0.7272727272727273,2,40.299934052242236,40,0.8235596120357513,0.17654817476868628,0.032578229904174805,coverage_gap,top_estimated_mass,65,30,35,0.46153846153846156,1.0,0.3272133469581604,0.5630938241114983,0.8713493943214417
top20,top20,30,80,0.7272727272727273,2,40.299934052242236,40,0.8235596120357513,0.17654817476868628,0.032578229904174805,coverage_gap,top_estimated_mass,20,20,0,1.0,0.6666666666666666,0.6406676769256592,0.7608351826667785,0.8713493943214417
top40,top40,30,80,0.7272727272727273,2,40.299934052242236,40,0.8235596120357513,0.17654817476868628,0.032578229904174805,coverage_gap,top_estimated_mass,40,28,12,0.7,0.9333333333333333,0.48132312297821045,0.6538000375032424,0.8713493943214417
top80,top80,30,80,0.7272727272727273,2,40.299934052242236,40,0.8235596120357513,0.17654817476868628,0.032578229904174805,coverage_gap,top_estimated_mass,80,30,50,0.375,1.0,0.19469398260116577,0.5031631860882044,0.8713493943214417
adaptive_posmass,coverage_gap,40,80,0.6666666666666666,0,49.47595354787238,40,0.8242526233196259,0.1798826575279236,0.0238192081451416,coverage_gap,top_estimated_mass,73,40,33,0.547945205479452,1.0,0.3678058683872223,0.5906114161831059,0.8895639777183533
adaptive_masscap,top_estimated_mass,40,80,0.6666666666666666,0,49.47595354787238,40,0.8242526233196259,0.1798826575279236,0.0238192081451416,coverage_gap,top_estimated_mass,50,36,14,0.72,0.9,0.5008993148803711,0.6628337442874909,0.8895639777183533
coverage_gap,coverage_gap,40,80,0.6666666666666666,0,49.47595354787238,40,0.8242526233196259,0.1798826575279236,0.0238192081451416,coverage_gap,top_estimated_mass,73,40,33,0.547945205479452,1.0,0.3678058683872223,0.5906114161831059,0.8895639777183533
top20,top20,40,80,0.6666666666666666,0,49.47595354787238,40,0.8242526233196259,0.1798826575279236,0.0238192081451416,coverage_gap,top_estimated_mass,20,19,1,0.95,0.475,0.6928479671478271,0.7916865736246109,0.8895639777183533
top40,top40,40,80,0.6666666666666666,0,49.47595354787238,40,0.8242526233196259,0.1798826575279236,0.0238192081451416,coverage_gap,top_estimated_mass,40,32,8,0.8,0.8,0.538707971572876,0.699086207151413,0.8895639777183533
top80,top80,40,80,0.6666666666666666,0,49.47595354787238,40,0.8242526233196259,0.1798826575279236,0.0238192081451416,coverage_gap,top_estimated_mass,80,40,40,0.5,1.0,0.3068496286869049,0.5671716582030057,0.8895639777183533
adaptive_posmass,coverage_gap,40,80,0.6666666666666666,1,51.661037674982104,40,0.8186672270298004,0.16900369971990586,0.023947060108184814,coverage_gap,top_estimated_mass,77,40,37,0.5194805194805194,1.0,0.36289897561073303,0.5910140829426902,0.8971351385116577
adaptive_masscap,top_estimated_mass,40,80,0.6666666666666666,1,51.661037674982104,40,0.8186672270298004,0.16900369971990586,0.023947060108184814,coverage_gap,top_estimated_mass,52,36,16,0.6923076923076923,0.9,0.48607316613197327,0.6679399770039779,0.8971351385116577
coverage_gap,coverage_gap,40,80,0.6666666666666666,1,51.661037674982104,40,0.8186672270298004,0.16900369971990586,0.023947060108184814,coverage_gap,top_estimated_mass,77,40,37,0.5194805194805194,1.0,0.36289897561073303,0.5910140829426902,0.8971351385116577
top20,top20,40,80,0.6666666666666666,1,51.661037674982104,40,0.8186672270298004,0.16900369971990586,0.023947060108184814,coverage_gap,top_estimated_mass,20,20,0,1.0,0.5,0.7060146927833557,0.8043810188770294,0.8971351385116577
top40,top40,40,80,0.6666666666666666,1,51.661037674982104,40,0.8186672270298004,0.16900369971990586,0.023947060108184814,coverage_gap,top_estimated_mass,40,31,9,0.775,0.775,0.5499919652938843,0.7142155140638351,0.8971351385116577
top80,top80,40,80,0.6666666666666666,1,51.661037674982104,40,0.8186672270298004,0.16900369971990586,0.023947060108184814,coverage_gap,top_estimated_mass,80,40,40,0.5,1.0,0.3266757130622864,0.5813701584935188,0.8971351385116577
adaptive_posmass,coverage_gap,40,80,0.6666666666666666,2,47.143512414474024,40,0.8219716072082519,0.1781330592930317,0.03666582703590393,coverage_gap,top_estimated_mass,72,40,32,0.5555555555555556,1.0,0.3691454827785492,0.5815849656032192,0.8756449818611145
adaptive_masscap,top_estimated_mass,40,80,0.6666666666666666,2,47.143512414474024,40,0.8219716072082519,0.1781330592930317,0.03666582703590393,coverage_gap,top_estimated_mass,48,37,11,0.7708333333333334,0.925,0.48336854577064514,0.6586938674251238,0.8756449818611145
coverage_gap,coverage_gap,40,80,0.6666666666666666,2,47.143512414474024,40,0.8219716072082519,0.1781330592930317,0.03666582703590393,coverage_gap,top_estimated_mass,72,40,32,0.5555555555555556,1.0,0.3691454827785492,0.5815849656032192,0.8756449818611145
top20,top20,40,80,0.6666666666666666,2,47.143512414474024,40,0.8219716072082519,0.1781330592930317,0.03666582703590393,coverage_gap,top_estimated_mass,20,20,0,1.0,0.5,0.7220404744148254,0.7875964790582657,0.8756449818611145
top40,top40,40,80,0.6666666666666666,2,47.143512414474024,40,0.8219716072082519,0.1781330592930317,0.03666582703590393,coverage_gap,top_estimated_mass,40,34,6,0.85,0.85,0.5301059484481812,0.6901658356189728,0.8756449818611145
top80,top80,40,80,0.6666666666666666,2,47.143512414474024,40,0.8219716072082519,0.1781330592930317,0.03666582703590393,coverage_gap,top_estimated_mass,80,40,40,0.5,1.0,0.26173892617225647,0.553310801833868,0.8756449818611145
adaptive_posmass,coverage_gap,50,80,0.6153846153846154,0,57.8100248765668,40,0.8238640129566193,0.1804295688867569,0.02678745985031128,coverage_gap,coverage_gap,45,39,6,0.8666666666666667,0.78,0.5783588886260986,0.7217068142361112,0.8882027864456177
adaptive_masscap,coverage_gap,50,80,0.6153846153846154,0,57.8100248765668,40,0.8238640129566193,0.1804295688867569,0.02678745985031128,coverage_gap,coverage_gap,45,39,6,0.8666666666666667,0.78,0.5783588886260986,0.7217068142361112,0.8882027864456177
coverage_gap,coverage_gap,50,80,0.6153846153846154,0,57.8100248765668,40,0.8238640129566193,0.1804295688867569,0.02678745985031128,coverage_gap,coverage_gap,45,39,6,0.8666666666666667,0.78,0.5783588886260986,0.7217068142361112,0.8882027864456177
top20,top20,50,80,0.6153846153846154,0,57.8100248765668,40,0.8238640129566193,0.1804295688867569,0.02678745985031128,coverage_gap,coverage_gap,20,20,0,1.0,0.4,0.7506561279296875,0.8133363395929336,0.8882027864456177
top40,top40,50,80,0.6153846153846154,0,57.8100248765668,40,0.8238640129566193,0.1804295688867569,0.02678745985031128,coverage_gap,coverage_gap,40,36,4,0.9,0.72,0.605596661567688,0.738338953256607,0.8882027864456177
top80,top80,50,80,0.6153846153846154,0,57.8100248765668,40,0.8238640129566193,0.1804295688867569,0.02678745985031128,coverage_gap,coverage_gap,80,50,30,0.625,1.0,0.38857847452163696,0.615689504891634,0.8882027864456177
adaptive_posmass,coverage_gap,50,80,0.6153846153846154,1,60.30405028268602,40,0.8182094097137451,0.17052728161215783,0.01614999771118164,coverage_gap,coverage_gap,47,39,8,0.8297872340425532,0.78,0.5856764316558838,0.7291848938515846,0.9192591309547424
adaptive_masscap,coverage_gap,50,80,0.6153846153846154,1,60.30405028268602,40,0.8182094097137451,0.17052728161215783,0.01614999771118164,coverage_gap,coverage_gap,47,39,8,0.8297872340425532,0.78,0.5856764316558838,0.7291848938515846,0.9192591309547424
coverage_gap,coverage_gap,50,80,0.6153846153846154,1,60.30405028268602,40,0.8182094097137451,0.17052728161215783,0.01614999771118164,coverage_gap,coverage_gap,47,39,8,0.8297872340425532,0.78,0.5856764316558838,0.7291848938515846,0.9192591309547424
top20,top20,50,80,0.6153846153846154,1,60.30405028268602,40,0.8182094097137451,0.17052728161215783,0.01614999771118164,coverage_gap,coverage_gap,20,20,0,1.0,0.4,0.7512249946594238,0.8294228941202164,0.9192591309547424
top40,top40,50,80,0.6153846153846154,1,60.30405028268602,40,0.8182094097137451,0.17052728161215783,0.01614999771118164,coverage_gap,coverage_gap,40,36,4,0.9,0.72,0.6113775968551636,0.751877772808075,0.9192591309547424
top80,top80,50,80,0.6153846153846154,1,60.30405028268602,40,0.8182094097137451,0.17052728161215783,0.01614999771118164,coverage_gap,coverage_gap,80,50,30,0.625,1.0,0.41165491938591003,0.6282490428537131,0.9192591309547424
adaptive_posmass,coverage_gap,50,80,0.6153846153846154,2,55.59493532134081,40,0.8208247125148773,0.17946375757455826,0.016978800296783447,coverage_gap,top_estimated_mass,74,50,24,0.6756756756756757,1.0,0.4206979274749756,0.6209428982960211,0.8758513331413269
adaptive_masscap,top_estimated_mass,50,80,0.6153846153846154,2,55.59493532134081,40,0.8208247125148773,0.17946375757455826,0.016978800296783447,coverage_gap,top_estimated_mass,56,45,11,0.8035714285714286,0.9,0.4976680278778076,0.6743257120251656,0.8758513331413269
coverage_gap,coverage_gap,50,80,0.6153846153846154,2,55.59493532134081,40,0.8208247125148773,0.17946375757455826,0.016978800296783447,coverage_gap,top_estimated_mass,74,50,24,0.6756756756756757,1.0,0.4206979274749756,0.6209428982960211,0.8758513331413269
top20,top20,50,80,0.6153846153846154,2,55.59493532134081,40,0.8208247125148773,0.17946375757455826,0.016978800296783447,coverage_gap,top_estimated_mass,20,20,0,1.0,0.4,0.7520860433578491,0.8020527184009552,0.8758513331413269
top40,top40,50,80,0.6153846153846154,2,55.59493532134081,40,0.8208247125148773,0.17946375757455826,0.016978800296783447,coverage_gap,top_estimated_mass,40,39,1,0.975,0.78,0.5822650790214539,0.728978218138218,0.8758513331413269
top80,top80,50,80,0.6153846153846154,2,55.59493532134081,40,0.8208247125148773,0.17946375757455826,0.016978800296783447,coverage_gap,top_estimated_mass,80,50,30,0.625,1.0,0.3872362971305847,0.6038423333317041,0.8758513331413269
adaptive_posmass,coverage_gap,60,80,0.5714285714285714,0,66.1196865776397,40,0.8235240340232849,0.18113345131278039,0.023776590824127197,coverage_gap,coverage_gap,55,49,6,0.8909090909090909,0.8166666666666667,0.5774808526039124,0.7207762934944847,0.887573778629303
adaptive_masscap,coverage_gap,60,80,0.5714285714285714,0,66.1196865776397,40,0.8235240340232849,0.18113345131278039,0.023776590824127197,coverage_gap,coverage_gap,55,49,6,0.8909090909090909,0.8166666666666667,0.5774808526039124,0.7207762934944847,0.887573778629303
coverage_gap,coverage_gap,60,80,0.5714285714285714,0,66.1196865776397,40,0.8235240340232849,0.18113345131278039,0.023776590824127197,coverage_gap,coverage_gap,55,49,6,0.8909090909090909,0.8166666666666667,0.5774808526039124,0.7207762934944847,0.887573778629303
top20,top20,60,80,0.5714285714285714,0,66.1196865776397,40,0.8235240340232849,0.18113345131278039,0.023776590824127197,coverage_gap,coverage_gap,20,20,0,1.0,0.3333333333333333,0.7705526351928711,0.8214714765548706,0.887573778629303
top40,top40,60,80,0.5714285714285714,0,66.1196865776397,40,0.8235240340232849,0.18113345131278039,0.023776590824127197,coverage_gap,coverage_gap,40,39,1,0.975,0.65,0.6441383361816406,0.7630720838904381,0.887573778629303
top80,top80,60,80,0.5714285714285714,0,66.1196865776397,40,0.8235240340232849,0.18113345131278039,0.023776590824127197,coverage_gap,coverage_gap,80,58,22,0.725,0.9666666666666667,0.4409191906452179,0.6536979123950004,0.887573778629303
adaptive_posmass,coverage_gap,60,80,0.5714285714285714,1,68.25765429478751,40,0.8172576308250428,0.17195123434066772,0.013305604457855225,coverage_gap,coverage_gap,57,49,8,0.8596491228070176,0.8166666666666667,0.5703368782997131,0.7248411147218001,0.9171738028526306
