split,episode,initial_demo_id,positive_success,cau_success,oracle_success,positive_top_prob,positive_entropy,positive_logit_gap,positive_top_scale_mean,positive_support_margin,positive_support_pos_dist,positive_support_neg_dist,cau_top_prob,cau_entropy,cau_logit_gap,cau_top_scale_mean,cau_support_margin,cau_support_pos_dist,cau_support_neg_dist,positive_cau_action_l2,positive_logp_self,positive_logp_under_cau,positive_logp_margin_vs_cau,cau_logp_self,cau_logp_under_positive,cau_logp_margin_vs_positive,cau_minus_positive_top_prob,cau_minus_positive_entropy,cau_minus_positive_logit_gap,cau_minus_positive_support_margin
101,18,demo_105,0,1,1,1.0,6e-06,14.764437,0.140048,1.28926,1.030448,2.319708,1.0,0.0,19.576969,0.126807,1.277526,1.024697,2.302224,0.235855,15.375,15.563572,-0.188572,16.233917,14.915773,1.318144,0.0,-6e-06,4.812532,-0.011734
101,19,demo_189,0,1,1,0.999999,1.6e-05,13.782102,0.144967,0.802822,1.78843,2.591252,1.0,0.0,18.157904,0.125828,0.794398,1.80726,2.601657,0.128373,15.109861,15.698736,-0.588875,16.030739,14.903576,1.127163,1e-06,-1.6e-05,4.375802,-0.008424
101,20,demo_5,1,0,1,0.999998,2.6e-05,13.259365,0.146574,0.057884,2.504902,2.562785,1.0,0.0,17.481667,0.130523,0.077464,2.533666,2.61113,0.140517,14.962376,15.440837,-0.478461,15.785396,14.741356,1.04404,2e-06,-2.6e-05,4.222302,0.01958
101,21,demo_29,1,1,1,0.999999,1e-05,14.234034,0.140359,-1.290622,2.600448,1.309825,1.0,0.0,18.604538,0.129492,-1.300237,2.541139,1.240902,0.172785,15.231465,15.670864,-0.439399,15.999369,14.983156,1.016213,1e-06,-1e-05,4.370504,-0.009615
101,22,demo_39,0,0,0,0.999998,3.3e-05,12.98723,0.149135,-0.462983,3.621209,3.158226,1.0,1e-06,17.129219,0.148883,-0.474339,3.626274,3.151935,0.179411,14.927985,14.632734,0.295251,14.952164,14.629698,0.322466,2e-06,-3.2e-05,4.141989,-0.011356
101,23,demo_45,1,0,1,1.0,7e-06,14.626206,0.134776,-0.060062,1.681526,1.621464,1.0,0.0,19.329468,0.126044,-0.044294,1.542126,1.497832,0.151771,15.464387,15.895001,-0.430614,16.21312,15.23175,0.98137,0.0,-7e-06,4.703262,0.015768
101,24,demo_53,0,1,1,0.999997,3.7e-05,12.880927,0.148195,-0.388332,2.583774,2.195442,1.0,0.0,17.731052,0.142891,-0.351522,2.44943,2.097908,0.112355,14.877042,14.985662,-0.10862,15.183876,14.690991,0.492885,3e-06,-3.7e-05,4.850125,0.03681
101,25,demo_81,1,0,1,1.0,4e-06,15.232304,0.132357,-0.410585,1.622655,1.21207,1.0,0.0,19.583927,0.128943,-0.396383,1.57458,1.178197,0.181418,15.645364,15.788527,-0.143163,16.147324,15.347751,0.799573,0.0,-4e-06,4.351623,0.014202
101,26,demo_89,0,1,1,1.0,5e-06,15.07382,0.121012,0.70158,2.375232,3.076812,1.0,0.0,20.129793,0.128547,0.77388,1.979004,2.752884,0.077292,16.160805,15.508991,0.651814,16.257647,15.424674,0.832973,0.0,-5e-06,5.055973,0.0723
101,27,demo_99,1,1,1,1.0,3e-06,15.675064,0.132072,-0.293787,2.161293,1.867506,1.0,0.0,20.532202,0.12589,-0.365163,2.168396,1.803233,0.268501,15.781051,15.754413,0.026638,16.516851,15.169052,1.347799,0.0,-3e-06,4.857138,-0.071376
101,28,demo_105,0,1,1,1.0,6e-06,14.764437,0.140048,1.28926,1.030448,2.319708,1.0,0.0,19.576969,0.126807,1.277526,1.024697,2.302224,0.235855,15.375,15.563572,-0.188572,16.233917,14.915773,1.318144,0.0,-6e-06,4.812532,-0.011734
101,29,demo_189,0,1,1,0.999999,1.6e-05,13.782102,0.144967,0.802822,1.78843,2.591252,1.0,0.0,18.157904,0.125828,0.794398,1.80726,2.601657,0.128373,15.109861,15.698736,-0.588875,16.030739,14.903576,1.127163,1e-06,-1.6e-05,4.375802,-0.008424
101,30,demo_5,0,0,0,0.999998,2.6e-05,13.259365,0.146574,0.057884,2.504902,2.562785,1.0,0.0,17.481667,0.130523,0.077464,2.533666,2.61113,0.140517,14.962376,15.440837,-0.478461,15.785396,14.741356,1.04404,2e-06,-2.6e-05,4.222302,0.01958
101,31,demo_29,1,1,1,0.999999,1e-05,14.234034,0.140359,-1.290622,2.600448,1.309825,1.0,0.0,18.604538,0.129492,-1.300237,2.541139,1.240902,0.172785,15.231465,15.670864,-0.439399,15.999369,14.983156,1.016213,1e-06,-1e-05,4.370504,-0.009615
101,32,demo_39,0,0,0,0.999998,3.3e-05,12.98723,0.149135,-0.462983,3.621209,3.158226,1.0,1e-06,17.129219,0.148883,-0.474339,3.626274,3.151935,0.179411,14.927985,14.632734,0.295251,14.952164,14.629698,0.322466,2e-06,-3.2e-05,4.141989,-0.011356
101,33,demo_45,0,1,1,1.0,7e-06,14.626206,0.134776,-0.060062,1.681526,1.621464,1.0,0.0,19.329468,0.126044,-0.044294,1.542126,1.497832,0.151771,15.464387,15.895001,-0.430614,16.21312,15.23175,0.98137,0.0,-7e-06,4.703262,0.015768
101,34,demo_53,0,0,0,0.999997,3.7e-05,12.880927,0.148195,-0.388332,2.583774,2.195442,1.0,0.0,17.731052,0.142891,-0.351522,2.44943,2.097908,0.112355,14.877042,14.985662,-0.10862,15.183876,14.690991,0.492885,3e-06,-3.7e-05,4.850125,0.03681
101,35,demo_81,1,0,1,1.0,4e-06,15.232304,0.132357,-0.410585,1.622655,1.21207,1.0,0.0,19.583927,0.128943,-0.396383,1.57458,1.178197,0.181418,15.645364,15.788527,-0.143163,16.147324,15.347751,0.799573,0.0,-4e-06,4.351623,0.014202
101,36,demo_89,1,1,1,1.0,5e-06,15.07382,0.121012,0.70158,2.375232,3.076812,1.0,0.0,20.129793,0.128547,0.77388,1.979004,2.752884,0.077292,16.160805,15.508991,0.651814,16.257647,15.424674,0.832973,0.0,-5e-06,5.055973,0.0723
101,37,demo_99,0,1,1,1.0,3e-06,15.675064,0.132072,-0.293787,2.161293,1.867506,1.0,0.0,20.532202,0.12589,-0.365163,2.168396,1.803233,0.268501,15.781051,15.754413,0.026638,16.516851,15.169052,1.347799,0.0,-3e-06,4.857138,-0.071376
101,38,demo_105,0,1,1,1.0,6e-06,14.764437,0.140048,1.28926,1.030448,2.319708,1.0,0.0,19.576969,0.126807,1.277526,1.024697,2.302224,0.235855,15.375,15.563572,-0.188572,16.233917,14.915773,1.318144,0.0,-6e-06,4.812532,-0.011734
101,39,demo_189,0,1,1,0.999999,1.6e-05,13.782102,0.144967,0.802822,1.78843,2.591252,1.0,0.0,18.157904,0.125828,0.794398,1.80726,2.601657,0.128373,15.109861,15.698736,-0.588875,16.030739,14.903576,1.127163,1e-06,-1.6e-05,4.375802,-0.008424
101,40,demo_5,1,0,1,0.999998,2.6e-05,13.259365,0.146574,0.057884,2.504902,2.562785,1.0,0.0,17.481667,0.130523,0.077464,2.533666,2.61113,0.140517,14.962376,15.440837,-0.478461,15.785396,14.741356,1.04404,2e-06,-2.6e-05,4.222302,0.01958
101,41,demo_29,1,1,1,0.999999,1e-05,14.234034,0.140359,-1.290622,2.600448,1.309825,1.0,0.0,18.604538,0.129492,-1.300237,2.541139,1.240902,0.172785,15.231465,15.670864,-0.439399,15.999369,14.983156,1.016213,1e-06,-1e-05,4.370504,-0.009615
101,42,demo_39,0,0,0,0.999998,3.3e-05,12.98723,0.149135,-0.462983,3.621209,3.158226,1.0,1e-06,17.129219,0.148883,-0.474339,3.626274,3.151935,0.179411,14.927985,14.632734,0.295251,14.952164,14.629698,0.322466,2e-06,-3.2e-05,4.141989,-0.011356
101,43,demo_45,0,1,1,1.0,7e-06,14.626206,0.134776,-0.060062,1.681526,1.621464,1.0,0.0,19.329468,0.126044,-0.044294,1.542126,1.497832,0.151771,15.464387,15.895001,-0.430614,16.21312,15.23175,0.98137,0.0,-7e-06,4.703262,0.015768
101,44,demo_53,0,0,0,0.999997,3.7e-05,12.880927,0.148195,-0.388332,2.583774,2.195442,1.0,0.0,17.731052,0.142891,-0.351522,2.44943,2.097908,0.112355,14.877042,14.985662,-0.10862,15.183876,14.690991,0.492885,3e-06,-3.7e-05,4.850125,0.03681
101,45,demo_81,1,1,1,1.0,4e-06,15.232304,0.132357,-0.410585,1.622655,1.21207,1.0,0.0,19.583927,0.128943,-0.396383,1.57458,1.178197,0.181418,15.645364,15.788527,-0.143163,16.147324,15.347751,0.799573,0.0,-4e-06,4.351623,0.014202
101,46,demo_89,0,1,1,1.0,5e-06,15.07382,0.121012,0.70158,2.375232,3.076812,1.0,0.0,20.129793,0.128547,0.77388,1.979004,2.752884,0.077292,16.160805,15.508991,0.651814,16.257647,15.424674,0.832973,0.0,-5e-06,5.055973,0.0723
101,47,demo_99,1,1,1,1.0,3e-06,15.675064,0.132072,-0.293787,2.161293,1.867506,1.0,0.0,20.532202,0.12589,-0.365163,2.168396,1.803233,0.268501,15.781051,15.754413,0.026638,16.516851,15.169052,1.347799,0.0,-3e-06,4.857138,-0.071376
101,48,demo_105,0,1,1,1.0,6e-06,14.764437,0.140048,1.28926,1.030448,2.319708,1.0,0.0,19.576969,0.126807,1.277526,1.024697,2.302224,0.235855,15.375,15.563572,-0.188572,16.233917,14.915773,1.318144,0.0,-6e-06,4.812532,-0.011734
101,49,demo_189,0,1,1,0.999999,1.6e-05,13.782102,0.144967,0.802822,1.78843,2.591252,1.0,0.0,18.157904,0.125828,0.794398,1.80726,2.601657,0.128373,15.109861,15.698736,-0.588875,16.030739,14.903576,1.127163,1e-06,-1.6e-05,4.375802,-0.008424
202,0,demo_5,1,1,1,1.0,0.0,26.227953,0.15456,0.433062,0.907281,1.340342,1.0,0.0,24.302429,0.127288,0.544835,1.056301,1.601136,0.123589,15.549812,15.481297,0.068515,15.793119,15.195293,0.597826,0.0,0.0,-1.925524,0.111773
202,1,demo_29,1,1,1,1.0,0.0,26.456032,0.150459,0.0,1.421875,1.421875,1.0,0.0,23.484524,0.133111,0.0,1.578248,1.578248,0.136032,15.786242,15.103333,0.682909,15.498606,15.237631,0.260975,0.0,0.0,-2.971508,0.0
202,2,demo_39,1,1,1,1.0,0.0,24.554428,0.180566,-0.089174,2.953578,2.864404,1.0,0.0,23.770939,0.147107,-0.102775,3.019492,2.916717,0.138404,14.520761,14.930649,-0.409888,15.131311,14.351046,0.780265,0.0,0.0,-0.783489,-0.013601
202,3,demo_45,1,0,1,1.0,0.0,27.35318,0.144815,-0.391582,2.11448,1.722899,1.0,0.0,24.855837,0.120596,-0.256404,2.208144,1.95174,0.118613,16.094284,15.716715,0.377569,16.158588,15.496807,0.661781,0.0,0.0,-2.497343,0.135178
202,4,demo_53,1,1,1,1.0,0.0,24.877047,0.175259,0.210313,1.556085,1.766398,1.0,0.0,23.461887,0.140221,0.208105,1.806873,2.014978,0.128838,14.758141,15.104942,-0.346801,15.356052,14.520615,0.835437,0.0,0.0,-1.41516,-0.002208
202,5,demo_81,0,0,0,1.0,0.0,27.880188,0.143608,-0.055212,1.456949,1.401737,1.0,0.0,25.493509,0.124899,-0.031256,1.622002,1.590746,0.127633,16.13306,15.506125,0.626935,16.009228,15.432846,0.576382,0.0,0.0,-2.386679,0.023956
202,6,demo_89,1,1,1,1.0,0.0,26.416901,0.158555,0.65014,2.263795,2.913935,1.0,0.0,23.853989,0.13298,0.489736,2.530127,3.019863,0.116713,15.771404,15.471792,0.299612,15.928303,15.170438,0.757865,0.0,0.0,-2.562912,-0.160404
202,7,demo_99,1,1,1,1.0,0.0,28.832907,0.13847,-0.203288,1.687879,1.48459,1.0,0.0,26.364254,0.118428,-0.158903,1.858318,1.699415,0.123147,16.506208,15.78327,0.722938,16.385487,15.603019,0.782468,0.0,0.0,-2.468653,0.044385
202,8,demo_105,1,1,1,1.0,0.0,27.680599,0.144124,0.7189,1.349046,2.067946,1.0,0.0,25.372849,0.118112,0.843416,1.436345,2.27976,0.121212,16.148397,15.831226,0.317171,16.275047,15.557352,0.717695,0.0,0.0,-2.30775,0.124516
202,9,demo_189,1,1,1,1.0,0.0,26.487829,0.150104,0.79938,0.836787,1.636167,1.0,0.0,24.390583,0.122267,0.85404,1.063713,1.917753,0.129971,15.839884,15.687986,0.151898,16.037556,15.416129,0.621427,0.0,0.0,-2.097246,0.05466
202,10,demo_5,1,1,1,1.0,0.0,26.227953,0.15456,0.433062,0.907281,1.340342,1.0,0.0,24.302429,0.127288,0.544835,1.056301,1.601136,0.123589,15.549812,15.481297,0.068515,15.793119,15.195293,0.597826,0.0,0.0,-1.925524,0.111773
202,11,demo_29,1,1,1,1.0,0.0,26.456032,0.150459,0.0,1.421875,1.421875,1.0,0.0,23.484524,0.133111,0.0,1.578248,1.578248,0.136032,15.786242,15.103333,0.682909,15.498606,15.237631,0.260975,0.0,0.0,-2.971508,0.0
202,12,demo_39,1,1,1,1.0,0.0,24.554428,0.180566,-0.089174,2.953578,2.864404,1.0,0.0,23.770939,0.147107,-0.102775,3.019492,2.916717,0.138404,14.520761,14.930649,-0.409888,15.131311,14.351046,0.780265,0.0,0.0,-0.783489,-0.013601
202,13,demo_45,1,1,1,1.0,0.0,27.35318,0.144815,-0.391582,2.11448,1.722899,1.0,0.0,24.855837,0.120596,-0.256404,2.208144,1.95174,0.118613,16.094284,15.716715,0.377569,16.158588,15.496807,0.661781,0.0,0.0,-2.497343,0.135178
202,14,demo_53,1,1,1,1.0,0.0,24.877047,0.175259,0.210313,1.556085,1.766398,1.0,0.0,23.461887,0.140221,0.208105,1.806873,2.014978,0.128838,14.758141,15.104942,-0.346801,15.356052,14.520615,0.835437,0.0,0.0,-1.41516,-0.002208
202,15,demo_81,1,0,1,1.0,0.0,27.880188,0.143608,-0.055212,1.456949,1.401737,1.0,0.0,25.493509,0.124899,-0.031256,1.622002,1.590746,0.127633,16.13306,15.506125,0.626935,16.009228,15.432846,0.576382,0.0,0.0,-2.386679,0.023956
202,16,demo_89,1,1,1,1.0,0.0,26.416901,0.158555,0.65014,2.263795,2.913935,1.0,0.0,23.853989,0.13298,0.489736,2.530127,3.019863,0.116713,15.771404,15.471792,0.299612,15.928303,15.170438,0.757865,0.0,0.0,-2.562912,-0.160404
202,17,demo_99,0,1,1,1.0,0.0,28.832907,0.13847,-0.203288,1.687879,1.48459,1.0,0.0,26.364254,0.118428,-0.158903,1.858318,1.699415,0.123147,16.506208,15.78327,0.722938,16.385487,15.603019,0.782468,0.0,0.0,-2.468653,0.044385
202,18,demo_105,0,1,1,1.0,0.0,27.680599,0.144124,0.7189,1.349046,2.067946,1.0,0.0,25.372849,0.118112,0.843416,1.436345,2.27976,0.121212,16.148397,15.831226,0.317171,16.275047,15.557352,0.717695,0.0,0.0,-2.30775,0.124516
202,19,demo_189,1,1,1,1.0,0.0,26.487829,0.150104,0.79938,0.836787,1.636167,1.0,0.0,24.390583,0.122267,0.85404,1.063713,1.917753,0.129971,15.839884,15.687986,0.151898,16.037556,15.416129,0.621427,0.0,0.0,-2.097246,0.05466
202,20,demo_5,1,1,1,1.0,0.0,26.227953,0.15456,0.433062,0.907281,1.340342,1.0,0.0,24.302429,0.127288,0.544835,1.056301,1.601136,0.123589,15.549812,15.481297,0.068515,15.793119,15.195293,0.597826,0.0,0.0,-1.925524,0.111773
202,21,demo_29,1,1,1,1.0,0.0,26.456032,0.150459,0.0,1.421875,1.421875,1.0,0.0,23.484524,0.133111,0.0,1.578248,1.578248,0.136032,15.786242,15.103333,0.682909,15.498606,15.237631,0.260975,0.0,0.0,-2.971508,0.0
202,22,demo_39,1,1,1,1.0,0.0,24.554428,0.180566,-0.089174,2.953578,2.864404,1.0,0.0,23.770939,0.147107,-0.102775,3.019492,2.916717,0.138404,14.520761,14.930649,-0.409888,15.131311,14.351046,0.780265,0.0,0.0,-0.783489,-0.013601
202,23,demo_45,1,0,1,1.0,0.0,27.35318,0.144815,-0.391582,2.11448,1.722899,1.0,0.0,24.855837,0.120596,-0.256404,2.208144,1.95174,0.118613,16.094284,15.716715,0.377569,16.158588,15.496807,0.661781,0.0,0.0,-2.497343,0.135178
202,24,demo_53,1,1,1,1.0,0.0,24.877047,0.175259,0.210313,1.556085,1.766398,1.0,0.0,23.461887,0.140221,0.208105,1.806873,2.014978,0.128838,14.758141,15.104942,-0.346801,15.356052,14.520615,0.835437,0.0,0.0,-1.41516,-0.002208
202,25,demo_81,0,0,0,1.0,0.0,27.880188,0.143608,-0.055212,1.456949,1.401737,1.0,0.0,25.493509,0.124899,-0.031256,1.622002,1.590746,0.127633,16.13306,15.506125,0.626935,16.009228,15.432846,0.576382,0.0,0.0,-2.386679,0.023956
202,26,demo_89,1,1,1,1.0,0.0,26.416901,0.158555,0.65014,2.263795,2.913935,1.0,0.0,23.853989,0.13298,0.489736,2.530127,3.019863,0.116713,15.771404,15.471792,0.299612,15.928303,15.170438,0.757865,0.0,0.0,-2.562912,-0.160404
202,27,demo_99,1,1,1,1.0,0.0,28.832907,0.13847,-0.203288,1.687879,1.48459,1.0,0.0,26.364254,0.118428,-0.158903,1.858318,1.699415,0.123147,16.506208,15.78327,0.722938,16.385487,15.603019,0.782468,0.0,0.0,-2.468653,0.044385
202,28,demo_105,0,1,1,1.0,0.0,27.680599,0.144124,0.7189,1.349046,2.067946,1.0,0.0,25.372849,0.118112,0.843416,1.436345,2.27976,0.121212,16.148397,15.831226,0.317171,16.275047,15.557352,0.717695,0.0,0.0,-2.30775,0.124516
202,29,demo_189,1,1,1,1.0,0.0,26.487829,0.150104,0.79938,0.836787,1.636167,1.0,0.0,24.390583,0.122267,0.85404,1.063713,1.917753,0.129971,15.839884,15.687986,0.151898,16.037556,15.416129,0.621427,0.0,0.0,-2.097246,0.05466
202,30,demo_5,1,1,1,1.0,0.0,26.227953,0.15456,0.433062,0.907281,1.340342,1.0,0.0,24.302429,0.127288,0.544835,1.056301,1.601136,0.123589,15.549812,15.481297,0.068515,15.793119,15.195293,0.597826,0.0,0.0,-1.925524,0.111773
202,31,demo_29,1,1,1,1.0,0.0,26.456032,0.150459,0.0,1.421875,1.421875,1.0,0.0,23.484524,0.133111,0.0,1.578248,1.578248,0.136032,15.786242,15.103333,0.682909,15.498606,15.237631,0.260975,0.0,0.0,-2.971508,0.0
202,32,demo_39,0,1,1,1.0,0.0,24.554428,0.180566,-0.089174,2.953578,2.864404,1.0,0.0,23.770939,0.147107,-0.102775,3.019492,2.916717,0.138404,14.520761,14.930649,-0.409888,15.131311,14.351046,0.780265,0.0,0.0,-0.783489,-0.013601
202,33,demo_45,1,1,1,1.0,0.0,27.35318,0.144815,-0.391582,2.11448,1.722899,1.0,0.0,24.855837,0.120596,-0.256404,2.208144,1.95174,0.118613,16.094284,15.716715,0.377569,16.158588,15.496807,0.661781,0.0,0.0,-2.497343,0.135178
202,34,demo_53,0,1,1,1.0,0.0,24.877047,0.175259,0.210313,1.556085,1.766398,1.0,0.0,23.461887,0.140221,0.208105,1.806873,2.014978,0.128838,14.758141,15.104942,-0.346801,15.356052,14.520615,0.835437,0.0,0.0,-1.41516,-0.002208
202,35,demo_81,1,0,1,1.0,0.0,27.880188,0.143608,-0.055212,1.456949,1.401737,1.0,0.0,25.493509,0.124899,-0.031256,1.622002,1.590746,0.127633,16.13306,15.506125,0.626935,16.009228,15.432846,0.576382,0.0,0.0,-2.386679,0.023956
202,36,demo_89,1,1,1,1.0,0.0,26.416901,0.158555,0.65014,2.263795,2.913935,1.0,0.0,23.853989,0.13298,0.489736,2.530127,3.019863,0.116713,15.771404,15.471792,0.299612,15.928303,15.170438,0.757865,0.0,0.0,-2.562912,-0.160404
202,37,demo_99,1,1,1,1.0,0.0,28.832907,0.13847,-0.203288,1.687879,1.48459,1.0,0.0,26.364254,0.118428,-0.158903,1.858318,1.699415,0.123147,16.506208,15.78327,0.722938,16.385487,15.603019,0.782468,0.0,0.0,-2.468653,0.044385
202,38,demo_105,1,1,1,1.0,0.0,27.680599,0.144124,0.7189,1.349046,2.067946,1.0,0.0,25.372849,0.118112,0.843416,1.436345,2.27976,0.121212,16.148397,15.831226,0.317171,16.275047,15.557352,0.717695,0.0,0.0,-2.30775,0.124516
202,39,demo_189,1,1,1,1.0,0.0,26.487829,0.150104,0.79938,0.836787,1.636167,1.0,0.0,24.390583,0.122267,0.85404,1.063713,1.917753,0.129971,15.839884,15.687986,0.151898,16.037556,15.416129,0.621427,0.0,0.0,-2.097246,0.05466
202,40,demo_5,1,1,1,1.0,0.0,26.227953,0.15456,0.433062,0.907281,1.340342,1.0,0.0,24.302429,0.127288,0.544835,1.056301,1.601136,0.123589,15.549812,15.481297,0.068515,15.793119,15.195293,0.597826,0.0,0.0,-1.925524,0.111773
202,41,demo_29,1,1,1,1.0,0.0,26.456032,0.150459,0.0,1.421875,1.421875,1.0,0.0,23.484524,0.133111,0.0,1.578248,1.578248,0.136032,15.786242,15.103333,0.682909,15.498606,15.237631,0.260975,0.0,0.0,-2.971508,0.0
202,42,demo_39,1,1,1,1.0,0.0,24.554428,0.180566,-0.089174,2.953578,2.864404,1.0,0.0,23.770939,0.147107,-0.102775,3.019492,2.916717,0.138404,14.520761,14.930649,-0.409888,15.131311,14.351046,0.780265,0.0,0.0,-0.783489,-0.013601
202,43,demo_45,0,0,0,1.0,0.0,27.35318,0.144815,-0.391582,2.11448,1.722899,1.0,0.0,24.855837,0.120596,-0.256404,2.208144,1.95174,0.118613,16.094284,15.716715,0.377569,16.158588,15.496807,0.661781,0.0,0.0,-2.497343,0.135178
202,44,demo_53,1,1,1,1.0,0.0,24.877047,0.175259,0.210313,1.556085,1.766398,1.0,0.0,23.461887,0.140221,0.208105,1.806873,2.014978,0.128838,14.758141,15.104942,-0.346801,15.356052,14.520615,0.835437,0.0,0.0,-1.41516,-0.002208
202,45,demo_81,0,0,0,1.0,0.0,27.880188,0.143608,-0.055212,1.456949,1.401737,1.0,0.0,25.493509,0.124899,-0.031256,1.622002,1.590746,0.127633,16.13306,15.506125,0.626935,16.009228,15.432846,0.576382,0.0,0.0,-2.386679,0.023956
