gate_id,direction,threshold,episodes,positive_successes,cau_successes,routed_successes,delta_vs_positive,gains_vs_positive,losses_vs_positive,opened_episodes,opened_initial_demo_ids
posthoc_lt,lt,15.643698,20,16,15,17,1,2,1,16,demo_5;demo_29;demo_39;demo_45;demo_53;demo_89;demo_105;demo_189;demo_5;demo_29;demo_39;demo_45;demo_53;demo_89;demo_105;demo_189
posthoc_lt,lt,15.654996,20,16,15,17,1,2,1,16,demo_5;demo_29;demo_39;demo_45;demo_53;demo_89;demo_105;demo_189;demo_5;demo_29;demo_39;demo_45;demo_53;demo_89;demo_105;demo_189
posthoc_lt,lt,15.737016,20,16,15,15,-1,2,3,18,demo_5;demo_29;demo_39;demo_45;demo_53;demo_81;demo_89;demo_105;demo_189;demo_5;demo_29;demo_39;demo_45;demo_53;demo_81;demo_89;demo_105;demo_189
posthoc_lt,lt,15.819035,20,16,15,15,-1,2,3,18,demo_5;demo_29;demo_39;demo_45;demo_53;demo_81;demo_89;demo_105;demo_189;demo_5;demo_29;demo_39;demo_45;demo_53;demo_81;demo_89;demo_105;demo_189
posthoc_lt,lt,15.819036,20,16,15,15,-1,2,3,20,demo_5;demo_29;demo_39;demo_45;demo_53;demo_81;demo_89;demo_99;demo_105;demo_189;demo_5;demo_29;demo_39;demo_45;demo_53;demo_81;demo_89;demo_99;demo_105;demo_189
posthoc_gt,gt,14.305548,20,16,15,15,-1,2,3,20,demo_5;demo_29;demo_39;demo_45;demo_53;demo_81;demo_89;demo_99;demo_105;demo_189;demo_5;demo_29;demo_39;demo_45;demo_53;demo_81;demo_89;demo_99;demo_105;demo_189
posthoc_gt,gt,14.305549,20,16,15,15,-1,2,3,18,demo_5;demo_29;demo_45;demo_53;demo_81;demo_89;demo_99;demo_105;demo_189;demo_5;demo_29;demo_45;demo_53;demo_81;demo_89;demo_99;demo_105;demo_189
posthoc_gt,gt,14.382067,20,16,15,15,-1,2,3,18,demo_5;demo_29;demo_45;demo_53;demo_81;demo_89;demo_99;demo_105;demo_189;demo_5;demo_29;demo_45;demo_53;demo_81;demo_89;demo_99;demo_105;demo_189
posthoc_gt,gt,14.458584,20,16,15,15,-1,2,3,16,demo_5;demo_29;demo_45;demo_81;demo_89;demo_99;demo_105;demo_189;demo_5;demo_29;demo_45;demo_81;demo_89;demo_99;demo_105;demo_189
posthoc_gt,gt,14.866010,20,16,15,15,-1,2,3,16,demo_5;demo_29;demo_45;demo_81;demo_89;demo_99;demo_105;demo_189;demo_5;demo_29;demo_45;demo_81;demo_89;demo_99;demo_105;demo_189
posthoc_gt,gt,15.273436,20,16,15,15,-1,2,3,14,demo_29;demo_45;demo_81;demo_89;demo_99;demo_105;demo_189;demo_29;demo_45;demo_81;demo_89;demo_99;demo_105;demo_189
posthoc_gt,gt,15.385037,20,16,15,15,-1,2,3,14,demo_29;demo_45;demo_81;demo_89;demo_99;demo_105;demo_189;demo_29;demo_45;demo_81;demo_89;demo_99;demo_105;demo_189
posthoc_gt,gt,15.496639,20,16,15,15,-1,2,3,12,demo_29;demo_45;demo_81;demo_89;demo_99;demo_189;demo_29;demo_45;demo_81;demo_89;demo_99;demo_189
posthoc_gt,gt,15.515881,20,16,15,15,-1,2,3,12,demo_29;demo_45;demo_81;demo_89;demo_99;demo_189;demo_29;demo_45;demo_81;demo_89;demo_99;demo_189
posthoc_gt,gt,15.535124,20,16,15,14,-2,1,3,10,demo_45;demo_81;demo_89;demo_99;demo_189;demo_45;demo_81;demo_89;demo_99;demo_189
posthoc_gt,gt,15.535322,20,16,15,14,-2,1,3,10,demo_45;demo_81;demo_89;demo_99;demo_189;demo_45;demo_81;demo_89;demo_99;demo_189
posthoc_gt,gt,15.535521,20,16,15,13,-3,0,3,8,demo_45;demo_81;demo_89;demo_99;demo_45;demo_81;demo_89;demo_99
posthoc_gt,gt,15.545226,20,16,15,13,-3,0,3,8,demo_45;demo_81;demo_89;demo_99;demo_45;demo_81;demo_89;demo_99
posthoc_gt,gt,15.554930,20,16,15,13,-3,0,3,6,demo_45;demo_81;demo_99;demo_45;demo_81;demo_99
posthoc_gt,gt,15.593666,20,16,15,13,-3,0,3,6,demo_45;demo_81;demo_99;demo_45;demo_81;demo_99
posthoc_gt,gt,15.632401,20,16,15,14,-2,0,2,4,demo_81;demo_99;demo_81;demo_99
posthoc_gt,gt,15.643698,20,16,15,14,-2,0,2,4,demo_81;demo_99;demo_81;demo_99
posthoc_gt,gt,15.654996,20,16,15,16,0,0,0,2,demo_99;demo_99
posthoc_gt,gt,15.737016,20,16,15,16,0,0,0,2,demo_99;demo_99
posthoc_gt,gt,15.819035,20,16,15,16,0,0,0,0,
posthoc_gt,gt,15.819036,20,16,15,16,0,0,0,0,
