gate_id,feature,direction,threshold,selected_successes,eval_episodes,selected_score,selected_cau_splits,selected_v02_splits,delta_vs_always_v02,delta_vs_always_cau,delta_vs_best_old_baseline_per_split,regret_to_cau_v02_oracle,regret_to_all_non_oracle_oracle
score_gap_labeled_pos_neg_gt_0.757500,score_gap_labeled_pos_neg,gt,0.757500,196,250,196/250,101;303;404;505,202,-1,3,4,12,16
count_ge_pos_min_ratio_gt_0.193182,count_ge_pos_min_ratio,gt,0.193182,196,250,196/250,101;303;404;505,202,-1,3,4,12,16
estimated_positive_mass_le_44.864930,estimated_positive_mass,le,44.864930,194,250,194/250,202,101;303;404;505,-3,1,2,14,18
count_ge_pos_min_le_8.500000,count_ge_pos_min,le,8.500000,194,250,194/250,202,101;303;404;505,-3,1,2,14,18
labeled_positive_p10_gt_0.813923,labeled_positive_p10,gt,0.813923,194,250,194/250,101;303;404,202;505,-3,1,2,14,18
labeled_positive_min_gt_0.775500,labeled_positive_min,gt,0.775500,194,250,194/250,101;303;404,202;505,-3,1,2,14,18
labeled_positive_mean_le_0.879000,labeled_positive_mean,le,0.879000,194,250,194/250,202,101;303;404;505,-3,1,2,14,18
labeled_negative_mean_gt_0.121500,labeled_negative_mean,gt,0.121500,194,250,194/250,202,101;303;404;505,-3,1,2,14,18
score_gap_labeled_pos_neg_le_0.757500,score_gap_labeled_pos_neg,le,0.757500,194,250,194/250,202,101;303;404;505,-3,1,2,14,18
count_ge_pos_min_ratio_le_0.193182,count_ge_pos_min_ratio,le,0.193182,194,250,194/250,202,101;303;404;505,-3,1,2,14,18
always_cau,,always_cau,,193,250,193/250,101;202;303;404;505,,-4,0,1,15,19
estimated_positive_mass_le_54.838349,estimated_positive_mass,le,54.838349,192,250,192/250,101;202;404;505,303,-5,-1,0,16,20
labeled_positive_p10_le_0.855482,labeled_positive_p10,le,0.855482,192,250,192/250,101;202;404;505,303,-5,-1,0,16,20
labeled_positive_mean_le_0.913000,labeled_positive_mean,le,0.913000,192,250,192/250,101;202;404;505,303,-5,-1,0,16,20
labeled_negative_mean_gt_0.094500,labeled_negative_mean,gt,0.094500,192,250,192/250,101;202;404;505,303,-5,-1,0,16,20
estimated_mass_ratio_le_1.232146,estimated_mass_ratio,le,1.232146,192,250,192/250,101;202;404;505,303,-5,-1,0,16,20
estimated_mass_minus_selected_le_10.338349,estimated_mass_minus_selected,le,10.338349,192,250,192/250,101;202;404;505,303,-5,-1,0,16,20
score_gap_labeled_pos_neg_le_0.818500,score_gap_labeled_pos_neg,le,0.818500,192,250,192/250,101;202;404;505,303,-5,-1,0,16,20
count_ge_pos_min_le_17.000000,count_ge_pos_min,le,17.000000,191,250,191/250,101;202;303;404,505,-6,-2,-1,17,21
labeled_positive_p10_gt_0.800952,labeled_positive_p10,gt,0.800952,191,250,191/250,101;202;303;404,505,-6,-2,-1,17,21
classifier_score_mean_le_0.707000,classifier_score_mean,le,0.707000,191,250,191/250,101;202;303;404,505,-6,-2,-1,17,21
labeled_positive_min_gt_0.763000,labeled_positive_min,gt,0.763000,191,250,191/250,101;202;303;404,505,-6,-2,-1,17,21
count_ge_pos_min_ratio_le_0.382576,count_ge_pos_min_ratio,le,0.382576,191,250,191/250,101;202;303;404,505,-6,-2,-1,17,21
estimated_positive_mass_le_51.514451,estimated_positive_mass,le,51.514451,190,250,190/250,101;202;404,303;505,-7,-3,-2,18,22
classifier_score_mean_le_0.676500,classifier_score_mean,le,0.676500,190,250,190/250,101;202;404,303;505,-7,-3,-2,18,22
estimated_mass_ratio_le_1.170783,estimated_mass_ratio,le,1.170783,190,250,190/250,101;202;404,303;505,-7,-3,-2,18,22
estimated_mass_minus_selected_le_7.514451,estimated_mass_minus_selected,le,7.514451,190,250,190/250,101;202;404,303;505,-7,-3,-2,18,22
count_ge_pos_min_ratio_le_0.319728,count_ge_pos_min_ratio,le,0.319728,190,250,190/250,101;202;404,303;505,-7,-3,-2,18,22
count_ge_pos_min_gt_12.500000,count_ge_pos_min,gt,12.500000,188,250,188/250,101;303;505,202;404,-9,-5,-4,20,24
count_ge_pos_min_ratio_gt_0.266698,count_ge_pos_min_ratio,gt,0.266698,188,250,188/250,101;303;505,202;404,-9,-5,-4,20,24
selected_unlabeled_gt_44.500000,selected_unlabeled,gt,44.500000,186,250,186/250,101;303,202;404;505,-11,-7,-6,22,26
selected_unlabeled_gt_47.000000,selected_unlabeled,gt,47.000000,185,250,185/250,101,202;303;404;505,-12,-8,-7,23,27
classifier_score_mean_le_0.626500,classifier_score_mean,le,0.626500,185,250,185/250,101,202;303;404;505,-12,-8,-7,23,27
labeled_positive_min_le_0.819500,labeled_positive_min,le,0.819500,185,250,185/250,101;202;303;505,404,-12,-8,-7,23,27
estimated_mass_ratio_le_0.966600,estimated_mass_ratio,le,0.966600,185,250,185/250,101,202;303;404;505,-12,-8,-7,23,27
estimated_mass_minus_selected_le_-1.635070,estimated_mass_minus_selected,le,-1.635070,185,250,185/250,101,202;303;404;505,-12,-8,-7,23,27
labeled_positive_p10_le_0.831259,labeled_positive_p10,le,0.831259,184,250,184/250,101;202;505,303;404,-13,-9,-8,24,28
labeled_positive_min_le_0.795500,labeled_positive_min,le,0.795500,184,250,184/250,101;202;505,303;404,-13,-9,-8,24,28
labeled_positive_mean_le_0.901000,labeled_positive_mean,le,0.901000,184,250,184/250,101;202;505,303;404,-13,-9,-8,24,28
labeled_negative_mean_gt_0.106500,labeled_negative_mean,gt,0.106500,184,250,184/250,101;202;505,303;404,-13,-9,-8,24,28
score_gap_labeled_pos_neg_le_0.794500,score_gap_labeled_pos_neg,le,0.794500,184,250,184/250,101;202;505,303;404,-13,-9,-8,24,28
estimated_positive_mass_le_47.631032,estimated_positive_mass,le,47.631032,182,250,182/250,101;202,303;404;505,-15,-11,-10,26,30
classifier_score_mean_le_0.639000,classifier_score_mean,le,0.639000,182,250,182/250,101;202,303;404;505,-15,-11,-10,26,30
labeled_positive_mean_le_0.891500,labeled_positive_mean,le,0.891500,182,250,182/250,101;202,303;404;505,-15,-11,-10,26,30
estimated_mass_ratio_le_1.062252,estimated_mass_ratio,le,1.062252,182,250,182/250,101;202,303;404;505,-15,-11,-10,26,30
estimated_mass_minus_selected_le_2.739074,estimated_mass_minus_selected,le,2.739074,182,250,182/250,101;202,303;404;505,-15,-11,-10,26,30
score_gap_labeled_pos_neg_le_0.779500,score_gap_labeled_pos_neg,le,0.779500,182,250,182/250,101;202,303;404;505,-15,-11,-10,26,30
